customer_id,age,gender,city,segment,employment_type,annual_income,months_on_book,num_products,income_log,avg_monthly_balance,num_active_products,digital_engagement_score,complaints_last_year,num_branch_visits,credit_card_usage,churn
CUST100017,27,M,Indore,Corporate,Salaried,250000.0,182,1,12.429220196836383,45200.0,1,32,0,15,46,0
CUST100018,66,M,Bangalore,Mass Affluent,Self-Employed,250000.0,35,1,12.429220196836383,20100.0,1,69,3,17,99,0
CUST100019,45,F,Jaipur,Retail,Self-Employed,250000.0,18,4,12.429220196836383,6700.0,4,85,1,2,70,0
CUST100020,48,M,Chennai,Retail,Retired,269300.0,188,1,12.503584992123654,10400.0,1,24,0,5,10,0
CUST100021,41,M,Chandigarh,Retail,Business Owner,250000.0,177,2,12.429220196836383,8600.0,2,85,1,9,23,0
CUST100022,30,F,Jaipur,Retail,Salaried,300900.0,25,3,12.614536585975857,32300.0,3,63,1,16,53,0
CUST100023,71,M,Surat,Retail,Salaried,250000.0,14,2,12.429220196836383,6300.0,2,29,3,1,15,0
CUST100024,63,M,Delhi,Mass Affluent,Business Owner,272000.0,212,3,12.513561021741964,20000.0,3,84,0,18,93,0
CUST100025,55,F,Surat,Mass Affluent,Salaried,572400.0,67,2,13.257595073692956,7400.0,2,70,1,12,35,0
CUST100026,42,F,Delhi,Corporate,Salaried,472800.0,232,3,13.066429860131011,13200.0,3,82,1,8,14,0
CUST100027,65,M,Kolkata,Mass Affluent,Salaried,272100.0,130,1,12.513928599884025,21600.0,1,18,1,8,5,0
CUST100028,50,M,Hyderabad,Retail,Self-Employed,1248500.0,235,1,14.037454189662798,8700.0,1,20,1,5,72,0
CUST100029,44,F,Mumbai,Mass Affluent,Salaried,250000.0,218,1,12.429220196836383,14600.0,1,58,1,18,65,0
CUST100030,45,M,Jaipur,Retail,Salaried,254700.0,150,2,12.447845587147512,4700.0,2,16,0,17,3,0
CUST100031,33,F,Hyderabad,Mass Affluent,Salaried,250000.0,30,1,12.429220196836383,8400.0,1,53,0,7,10,0
CUST100032,25,F,Ahmedabad,HNWI,Business Owner,250000.0,215,2,12.429220196836383,16500.0,2,89,1,4,41,0
CUST100033,50,M,Kochi,Retail,Salaried,784400.0,87,1,13.572675648163282,9800.0,1,47,1,9,37,0
CUST100034,68,F,Bangalore,Retail,Self-Employed,250000.0,64,2,12.429220196836383,8200.0,2,40,1,5,10,0
CUST100035,24,M,Surat,Corporate,Salaried,250000.0,140,1,12.429220196836383,23300.0,1,19,1,2,23,0
CUST100036,67,F,Chennai,Mass Affluent,Salaried,452800.0,89,2,13.023208014349237,12600.0,2,95,0,15,8,0
CUST100037,65,M,Chennai,Mass Affluent,Salaried,338900.0,179,4,12.733463308313716,8500.0,4,56,3,19,87,0
CUST100038,35,M,Jaipur,HNWI,Salaried,441700.0,68,2,12.998388461562133,15600.0,2,65,3,15,17,0
CUST100039,55,F,Lucknow,Mass Affluent,Salaried,250000.0,220,3,12.429220196836383,13400.0,3,17,0,18,31,0
CUST100040,29,F,Lucknow,Retail,Retired,250000.0,29,2,12.429220196836383,21600.0,2,98,1,15,11,0
CUST100041,61,M,Bangalore,Corporate,Salaried,250000.0,115,1,12.429220196836383,4100.0,1,68,3,2,79,0
CUST100042,58,F,Jaipur,SME,Student,374300.0,230,2,12.832815565542704,28100.0,2,26,1,11,11,0
CUST100043,40,M,Hyderabad,Retail,Salaried,256900.0,202,2,12.456446075655599,16400.0,2,56,0,7,27,0
CUST100044,24,M,Chennai,Retail,Salaried,338700.0,197,3,12.732872991266813,24400.0,3,90,3,17,8,0
CUST100045,73,M,Chandigarh,HNWI,Self-Employed,250000.0,150,1,12.429220196836383,8200.0,1,98,0,6,36,0
CUST100046,45,M,Delhi,Mass Affluent,Business Owner,346300.0,139,5,12.755063618055994,25800.0,5,18,0,19,10,0
CUST100047,69,F,Pune,Retail,Salaried,267900.0,53,3,12.498372788261829,41900.0,3,48,0,3,37,0
CUST100048,57,F,Pune,Mass Affluent,Salaried,250000.0,75,2,12.429220196836383,6300.0,2,42,0,10,23,0
CUST100049,63,F,Hyderabad,HNWI,Self-Employed,291800.0,141,5,12.583827342069748,5700.0,5,80,1,10,69,0
CUST100050,62,M,Kochi,Mass Affluent,Salaried,250000.0,77,1,12.429220196836383,9200.0,1,32,0,4,10,0
CUST100051,31,F,Ahmedabad,Retail,Self-Employed,388600.0,79,3,12.87030838926236,40400.0,3,31,1,17,53,0
CUST100052,40,M,Surat,Retail,Business Owner,453100.0,164,1,13.023870337671113,13000.0,1,32,0,15,96,0
CUST100053,46,F,Kolkata,Retail,Salaried,362600.0,170,2,12.801058335158986,43600.0,2,47,1,16,66,0
CUST100054,47,F,Bhopal,SME,Business Owner,250000.0,122,1,12.429220196836383,48300.0,1,88,0,9,34,0
CUST100055,23,F,Surat,Mass Affluent,Salaried,250000.0,72,4,12.429220196836383,3800.0,4,81,1,10,48,0
CUST100056,50,F,Chennai,Retail,Retired,250000.0,47,2,12.429220196836383,7800.0,2,45,0,8,87,0
CUST100057,29,M,Chandigarh,Corporate,Student,250000.0,67,2,12.429220196836383,4700.0,2,48,0,3,33,0
CUST100058,61,F,Indore,Retail,Self-Employed,250000.0,83,5,12.429220196836383,6200.0,5,12,0,15,96,0
CUST100059,57,F,Jaipur,Mass Affluent,Student,467500.0,227,1,13.055156766746023,15200.0,1,56,0,18,81,0
CUST100060,70,M,Mumbai,Retail,Business Owner,408100.0,81,5,12.919269971770703,9800.0,5,56,3,1,70,0
CUST100061,61,F,Jaipur,HNWI,Salaried,250000.0,218,2,12.429220196836383,7600.0,2,33,0,4,21,0
CUST100062,40,M,Surat,HNWI,Salaried,382700.0,131,3,12.855009284423183,22700.0,3,71,0,0,42,0
CUST100063,73,M,Kolkata,HNWI,Salaried,326900.0,111,2,12.697412651747085,8400.0,2,14,0,6,90,0
CUST100064,43,F,Bangalore,Retail,Salaried,263100.0,68,4,12.480293267857345,38200.0,4,19,2,9,3,0
CUST100065,38,F,Jaipur,Retail,Self-Employed,534400.0,185,4,13.188901772460307,11900.0,4,27,0,11,44,0
CUST100066,69,M,Indore,Retail,Salaried,250000.0,203,2,12.429220196836383,11400.0,2,68,2,19,87,1
CUST100067,41,F,Chennai,SME,Self-Employed,277000.0,235,3,12.531776395271262,8800.0,3,40,0,9,18,0
CUST100068,25,F,Pune,Retail,Salaried,250000.0,197,5,12.429220196836383,25100.0,5,72,3,12,8,0
CUST100069,46,M,Mumbai,Mass Affluent,Salaried,250000.0,26,3,12.429220196836383,8100.0,3,85,2,17,5,0
CUST100070,63,M,Surat,HNWI,Salaried,250000.0,211,5,12.429220196836383,34600.0,5,37,3,14,11,0
CUST100071,31,M,Indore,Retail,Student,250000.0,147,3,12.429220196836383,13200.0,3,83,0,2,76,0
CUST100072,45,F,Kochi,Retail,Salaried,282100.0,126,2,12.550020441826058,31100.0,2,91,0,4,53,0
CUST100073,28,M,Pune,Retail,Salaried,250000.0,65,4,12.429220196836383,6100.0,4,16,0,16,59,0
CUST100074,58,F,Mumbai,Mass Affluent,Salaried,250000.0,124,3,12.429220196836383,30600.0,3,34,0,12,19,0
CUST100075,46,F,Ahmedabad,SME,Student,250000.0,193,1,12.429220196836383,11000.0,1,82,3,12,11,0
CUST100076,38,F,Chandigarh,Retail,Salaried,777300.0,143,1,13.56358294172205,17900.0,1,18,1,12,62,0
CUST100077,33,M,Delhi,SME,Self-Employed,250000.0,29,1,12.429220196836383,19100.0,1,2,2,0,2,0
CUST100078,51,M,Hyderabad,Retail,Salaried,250000.0,182,3,12.429220196836383,19400.0,3,4,1,3,17,0
CUST100079,57,F,Indore,Retail,Salaried,250000.0,190,3,12.429220196836383,14800.0,3,26,2,18,42,0
CUST100080,71,F,Jaipur,Corporate,Self-Employed,257000.0,163,4,12.456835254920371,23400.0,4,35,0,2,43,0
CUST100081,44,M,Bangalore,Corporate,Self-Employed,365400.0,52,1,12.808750659649172,14300.0,1,80,3,5,61,0
CUST100082,29,F,Mumbai,Retail,Self-Employed,388900.0,75,1,12.871080091495637,8000.0,1,40,1,12,1,0
CUST100083,65,F,Pune,Mass Affluent,Salaried,473000.0,112,1,13.06685278163674,38400.0,1,26,1,8,97,0
CUST100084,55,F,Jaipur,Corporate,Student,251500.0,209,3,12.435202244657168,5100.0,3,24,0,12,83,0
CUST100085,58,M,Indore,HNWI,Self-Employed,250000.0,196,4,12.429220196836383,22500.0,4,18,3,4,41,0
CUST100086,26,F,Bhopal,Mass Affluent,Student,715000.0,28,4,13.480039220276565,8700.0,4,65,2,15,92,0
CUST100087,37,F,Pune,Retail,Salaried,250000.0,21,1,12.429220196836383,27400.0,1,51,3,19,43,0
CUST100088,62,F,Pune,Retail,Salaried,278600.0,17,3,12.53753592969685,7500.0,3,70,1,6,97,0
CUST100089,65,M,Bhopal,Mass Affluent,Salaried,347300.0,223,3,12.757947118083045,20500.0,3,44,0,17,43,0
CUST100090,44,F,Kochi,Mass Affluent,Business Owner,825900.0,208,5,13.624230190598414,7900.0,5,33,0,4,56,0
CUST100091,64,M,Hyderabad,Retail,Self-Employed,250000.0,56,3,12.429220196836383,20800.0,3,20,0,15,50,0
CUST100092,66,F,Surat,Retail,Salaried,250000.0,220,2,12.429220196836383,5200.0,2,43,2,6,77,0
CUST100093,41,M,Surat,Retail,Salaried,250000.0,123,3,12.429220196836383,7400.0,3,34,3,2,81,0
CUST100094,69,M,Hyderabad,Mass Affluent,Salaried,250000.0,79,2,12.429220196836383,9200.0,2,16,0,11,53,0
CUST100095,36,M,Chandigarh,Retail,Salaried,250000.0,177,3,12.429220196836383,27100.0,3,74,0,9,80,0
CUST100096,33,M,Chennai,Retail,Business Owner,442300.0,22,3,12.999745924762747,3200.0,3,8,1,14,55,0
CUST100097,57,M,Jaipur,Retail,Salaried,553300.0,34,4,13.223657436222359,6300.0,4,21,1,13,0,0
CUST100098,55,M,Ahmedabad,Corporate,Salaried,250000.0,65,1,12.429220196836383,29700.0,1,39,2,9,88,0
CUST100099,28,F,Surat,Mass Affluent,Salaried,400300.0,148,4,12.89997204310395,25800.0,4,12,2,2,46,0
CUST100100,65,M,Bhopal,Retail,Salaried,250000.0,202,1,12.429220196836383,9700.0,1,24,0,8,16,0
CUST100101,31,F,Kolkata,Retail,Student,374700.0,126,3,12.833883653579926,12100.0,3,29,0,11,55,0
CUST100102,64,M,Kolkata,Retail,Salaried,536400.0,108,5,13.19263729466831,71900.0,5,82,2,5,7,0
CUST100103,21,F,Kochi,Mass Affluent,Retired,250000.0,143,1,12.429220196836383,32300.0,1,16,0,7,61,0
CUST100104,64,M,Chandigarh,Mass Affluent,Self-Employed,512100.0,8,3,13.14627715019234,32400.0,3,92,1,13,78,0
CUST100105,63,F,Bhopal,Mass Affluent,Self-Employed,250000.0,161,3,12.429220196836383,3700.0,3,35,0,12,50,0
CUST100106,63,M,Kochi,Mass Affluent,Salaried,397900.0,194,4,12.893958509606131,24800.0,4,13,0,7,69,0
CUST100107,56,M,Surat,Retail,Self-Employed,498900.0,104,1,13.120162958256822,39200.0,1,45,2,1,15,0
CUST100108,46,F,Kochi,Retail,Self-Employed,468900.0,157,4,13.058146937726288,14600.0,4,58,2,8,75,0
CUST100109,59,F,Chandigarh,Retail,Salaried,250000.0,75,5,12.429220196836383,12100.0,5,57,0,4,32,0
CUST100110,35,M,Mumbai,Mass Affluent,Retired,250000.0,225,3,12.429220196836383,14500.0,3,30,1,10,99,0
CUST100111,63,F,Jaipur,Retail,Salaried,321700.0,49,2,12.681377821708454,9900.0,2,90,1,15,97,0
CUST100112,51,M,Mumbai,HNWI,Salaried,350100.0,38,3,12.765976963265441,9500.0,3,30,3,9,20,0
CUST100113,45,M,Jaipur,Retail,Salaried,287700.0,225,1,12.56967702537649,6600.0,1,36,1,1,46,0
CUST100114,48,M,Kolkata,Mass Affluent,Self-Employed,632500.0,124,3,13.35743708061023,17800.0,3,90,3,5,40,0
CUST100115,51,F,Chennai,Retail,Salaried,250000.0,99,1,12.429220196836383,13500.0,1,77,0,15,78,0
CUST100116,23,M,Bhopal,Retail,Salaried,250000.0,196,2,12.429220196836383,36600.0,2,26,1,16,55,0
CUST100117,28,M,Surat,HNWI,Salaried,250000.0,72,1,12.429220196836383,11700.0,1,87,1,11,75,0
CUST100118,34,M,Jaipur,Retail,Salaried,389600.0,75,3,12.872878417482337,2000.0,3,75,2,15,52,0
CUST100119,27,F,Bhopal,Retail,Salaried,374300.0,18,2,12.832815565542704,3300.0,2,95,1,15,36,0
CUST100120,44,M,Delhi,Retail,Business Owner,2001000.0,127,3,14.50915811331587,28100.0,3,90,2,2,72,0
CUST100121,57,F,Lucknow,HNWI,Salaried,496700.0,181,1,13.115743514381114,14200.0,1,73,0,6,96,0
CUST100122,56,F,Bangalore,Retail,Student,327400.0,236,2,12.698940998282254,21100.0,2,55,2,0,21,0
CUST100123,46,F,Hyderabad,SME,Self-Employed,312700.0,129,2,12.653002741394129,18800.0,2,43,3,16,3,0
CUST100124,67,F,Bangalore,SME,Business Owner,250000.0,23,3,12.429220196836383,4600.0,3,10,0,3,94,0
CUST100125,51,M,Jaipur,Corporate,Retired,290200.0,50,1,12.578329065325667,11300.0,1,78,1,6,76,0
CUST100126,25,M,Lucknow,Retail,Salaried,316700.0,71,3,12.665713390084107,18500.0,3,47,0,7,77,0
CUST100127,62,F,Kochi,Mass Affluent,Self-Employed,250000.0,215,2,12.429220196836383,10300.0,2,89,0,6,19,0
CUST100128,52,M,Pune,Retail,Salaried,302000.0,141,4,12.618185607609803,4400.0,4,74,0,8,7,0
CUST100129,55,M,Chandigarh,Corporate,Salaried,285100.0,224,2,12.560598782435825,20900.0,2,28,0,4,20,0
CUST100130,51,M,Kolkata,Mass Affluent,Salaried,768700.0,203,1,13.552457356233997,9300.0,1,21,1,1,96,0
CUST100131,50,F,Bangalore,Retail,Self-Employed,250000.0,212,1,12.429220196836383,6900.0,1,45,1,15,91,0
CUST100132,25,F,Mumbai,Retail,Business Owner,250000.0,71,1,12.429220196836383,24700.0,1,89,2,18,61,0
CUST100133,51,M,Delhi,Corporate,Salaried,315200.0,137,1,12.66096580954966,4100.0,1,96,3,16,0,0
CUST100134,63,F,Pune,Corporate,Self-Employed,280600.0,20,3,12.544689010436022,52400.0,3,47,2,5,44,0
CUST100135,37,F,Pune,Mass Affluent,Salaried,250000.0,93,3,12.429220196836383,6800.0,3,85,0,1,59,0
CUST100136,53,F,Indore,Mass Affluent,Salaried,250000.0,79,1,12.429220196836383,4200.0,1,24,0,0,0,0
CUST100137,22,F,Delhi,HNWI,Salaried,250000.0,43,4,12.429220196836383,43000.0,4,25,0,11,97,0
CUST100138,39,F,Hyderabad,Corporate,Self-Employed,250000.0,20,1,12.429220196836383,3200.0,1,18,1,9,22,0
CUST100139,44,M,Chandigarh,HNWI,Salaried,250000.0,94,3,12.429220196836383,1500.0,3,42,0,8,65,0
CUST100140,74,F,Mumbai,Retail,Salaried,416400.0,22,1,12.93940401725705,32500.0,1,42,0,12,31,0
CUST100141,32,M,Pune,Mass Affluent,Salaried,250000.0,149,2,12.429220196836383,58800.0,2,27,0,13,64,0
CUST100142,35,M,Bangalore,Corporate,Self-Employed,250000.0,70,3,12.429220196836383,16000.0,3,51,0,7,64,0
CUST100143,43,F,Jaipur,Retail,Business Owner,371300.0,59,1,12.824768333401511,24200.0,1,38,1,13,70,0
CUST100144,74,F,Chandigarh,Retail,Salaried,250000.0,31,1,12.429220196836383,24400.0,1,8,1,17,72,1
CUST100145,67,M,Hyderabad,Retail,Self-Employed,1284000.0,114,3,14.06549154204794,12800.0,3,88,3,5,41,0
CUST100146,22,F,Kolkata,Retail,Self-Employed,311600.0,45,3,12.6494788022162,6200.0,3,70,1,4,5,0
CUST100147,33,M,Pune,HNWI,Salaried,250000.0,140,4,12.429220196836383,11600.0,4,40,2,3,31,0
CUST100148,65,M,Kochi,Retail,Salaried,250000.0,236,3,12.429220196836383,3300.0,3,42,2,18,22,0
CUST100149,24,M,Chandigarh,Mass Affluent,Retired,250000.0,177,1,12.429220196836383,35000.0,1,67,3,7,17,0
CUST100150,67,F,Delhi,Retail,Salaried,250000.0,33,3,12.429220196836383,9700.0,3,17,3,16,18,0
CUST100151,36,M,Ahmedabad,Corporate,Salaried,370300.0,27,4,12.822071467411154,11000.0,4,95,0,11,17,0
CUST100152,70,M,Kochi,Corporate,Business Owner,250000.0,210,1,12.429220196836383,8400.0,1,57,2,10,54,0
CUST100153,36,F,Mumbai,Mass Affluent,Business Owner,250000.0,208,1,12.429220196836383,11000.0,1,8,0,14,34,0
CUST100154,44,M,Indore,HNWI,Self-Employed,532700.0,90,3,13.185715570132539,25900.0,3,68,3,17,8,0
CUST100155,56,F,Hyderabad,Retail,Business Owner,250000.0,112,3,12.429220196836383,14400.0,3,34,2,5,3,0
CUST100156,27,M,Ahmedabad,Corporate,Salaried,401500.0,94,2,12.902965303025876,6900.0,2,79,1,6,65,0
CUST100157,51,M,Chandigarh,HNWI,Business Owner,250000.0,142,3,12.429220196836383,18000.0,3,67,0,19,78,0
CUST100158,48,F,Lucknow,Retail,Salaried,250000.0,54,1,12.429220196836383,19800.0,1,96,1,11,47,0
CUST100159,63,M,Chandigarh,SME,Business Owner,250000.0,226,2,12.429220196836383,47800.0,2,31,1,18,82,0
CUST100160,74,M,Lucknow,Retail,Salaried,321200.0,100,3,12.679822374374929,26800.0,3,41,0,2,28,0
CUST100161,56,M,Hyderabad,Mass Affluent,Salaried,250000.0,45,1,12.429220196836383,5200.0,1,62,1,9,17,0
CUST100162,43,M,Surat,Retail,Salaried,928900.0,76,2,13.741757445917179,33100.0,2,42,0,10,27,0
CUST100163,42,M,Lucknow,HNWI,Business Owner,250000.0,212,3,12.429220196836383,9400.0,3,20,1,7,51,1
CUST100164,43,M,Chennai,Retail,Salaried,530400.0,73,2,13.181388603221546,5400.0,2,20,0,10,45,0
CUST100165,64,F,Delhi,Retail,Business Owner,454500.0,194,4,13.026955392817271,4700.0,4,10,1,13,57,0
CUST100166,38,M,Lucknow,Mass Affluent,Salaried,323200.0,185,5,12.686029699683697,18700.0,5,16,0,13,99,0
CUST100167,30,M,Jaipur,SME,Salaried,277200.0,238,3,12.532498153794986,8100.0,3,32,0,12,60,0
CUST100168,39,M,Kochi,Retail,Self-Employed,816700.0,41,3,13.613028333785437,4900.0,3,61,0,2,0,0
CUST100169,22,F,Delhi,Mass Affluent,Salaried,1181800.0,97,4,13.982550104060218,7000.0,4,93,1,12,10,0
CUST100170,26,F,Jaipur,Mass Affluent,Self-Employed,250000.0,202,3,12.429220196836383,14100.0,3,36,2,18,17,0
CUST100171,25,F,Indore,Corporate,Student,295000.0,35,3,12.59473402514672,3800.0,3,16,0,0,74,0
CUST100172,62,M,Bhopal,Retail,Self-Employed,250000.0,14,1,12.429220196836383,7800.0,1,4,0,6,94,0
CUST100173,60,F,Chandigarh,Mass Affluent,Salaried,250000.0,9,4,12.429220196836383,6600.0,4,28,3,15,13,0
CUST100174,58,M,Hyderabad,SME,Salaried,354300.0,25,1,12.777902113316417,9900.0,1,22,1,1,86,0
CUST100175,45,F,Bangalore,Retail,Retired,311700.0,191,1,12.649799673963308,6200.0,1,48,0,19,53,0
CUST100176,59,M,Jaipur,Retail,Self-Employed,250000.0,87,2,12.429220196836383,24700.0,2,80,1,6,86,0
CUST100177,29,M,Pune,Corporate,Business Owner,352800.0,37,1,12.773659437577876,19400.0,1,77,0,17,19,0
CUST100178,69,F,Hyderabad,Retail,Salaried,318000.0,170,1,12.669809806411457,5200.0,1,20,1,17,40,1
CUST100179,48,M,Delhi,Retail,Self-Employed,250000.0,77,3,12.429220196836383,18200.0,3,29,1,15,79,0
CUST100180,71,M,Bangalore,Retail,Salaried,250000.0,38,1,12.429220196836383,12800.0,1,34,0,11,90,0
CUST100181,29,M,Kolkata,Corporate,Self-Employed,346000.0,237,4,12.754196944209095,9700.0,4,33,3,19,58,0
CUST100182,47,F,Kochi,SME,Retired,704600.0,142,5,13.465386964133229,7300.0,5,18,1,5,49,0
CUST100183,58,F,Mumbai,Mass Affluent,Retired,340800.0,109,3,12.739054008205294,21300.0,3,83,1,8,92,0
CUST100184,47,F,Delhi,Mass Affluent,Salaried,428600.0,221,1,12.96828169519668,8400.0,1,12,0,1,51,0
CUST100185,45,F,Hyderabad,Retail,Business Owner,250000.0,60,2,12.429220196836383,8100.0,2,20,2,15,77,0
CUST100186,29,M,Bhopal,Retail,Salaried,250000.0,144,1,12.429220196836383,10000.0,1,90,0,19,53,0
CUST100187,41,M,Chandigarh,Retail,Salaried,386500.0,182,3,12.864889734328388,3700.0,3,13,2,13,22,1
CUST100188,33,M,Pune,Retail,Self-Employed,250000.0,7,1,12.429220196836383,31800.0,1,56,1,7,86,0
CUST100189,37,M,Mumbai,Retail,Salaried,303900.0,69,2,12.624457269455574,2800.0,2,48,0,8,82,0
CUST100190,57,M,Mumbai,Mass Affluent,Salaried,360800.0,28,1,12.79608183878539,17200.0,1,66,1,4,5,0
CUST100191,55,M,Indore,Retail,Self-Employed,262200.0,130,5,12.476866664186996,17000.0,5,61,0,0,73,0
CUST100192,53,M,Pune,Retail,Self-Employed,325000.0,165,1,12.691583538230217,13500.0,1,36,0,12,7,0
CUST100193,40,F,Delhi,Retail,Self-Employed,277800.0,42,2,12.534660309007924,4800.0,2,91,1,7,87,0
CUST100194,72,M,Indore,Retail,Salaried,250000.0,39,1,12.429220196836383,19300.0,1,13,3,9,97,1
CUST100195,25,F,Ahmedabad,Retail,Self-Employed,250000.0,113,2,12.429220196836383,26000.0,2,56,0,15,91,0
CUST100196,39,M,Kolkata,Retail,Salaried,254200.0,98,4,12.44588057164006,28100.0,4,17,0,0,31,0
CUST100197,27,F,Pune,Retail,Salaried,587000.0,31,1,13.282781802386296,6000.0,1,17,0,14,67,0
CUST100198,39,F,Hyderabad,Mass Affluent,Salaried,496100.0,165,1,13.114534814009746,3700.0,1,42,1,19,58,0
CUST100199,72,F,Bhopal,HNWI,Self-Employed,250000.0,186,1,12.429220196836383,2200.0,1,69,0,15,29,0
CUST100200,40,M,Kochi,Corporate,Salaried,250000.0,106,2,12.429220196836383,23200.0,2,37,1,15,50,0
CUST100201,70,M,Bangalore,HNWI,Salaried,250000.0,91,3,12.429220196836383,32900.0,3,52,0,11,86,0
CUST100202,47,F,Kochi,Mass Affluent,Retired,250000.0,43,4,12.429220196836383,12900.0,4,56,0,0,46,0
CUST100203,58,F,Bangalore,Corporate,Business Owner,318900.0,80,4,12.672635988772473,8600.0,4,87,2,18,42,0
CUST100204,45,M,Pune,Mass Affluent,Self-Employed,506100.0,124,1,13.134491533094309,2400.0,1,38,0,13,66,0
CUST100205,35,F,Kochi,Mass Affluent,Business Owner,1043100.0,238,4,13.857708565344458,6400.0,4,92,1,0,92,0
CUST100206,62,M,Mumbai,Retail,Student,250000.0,49,4,12.429220196836383,36200.0,4,46,0,11,92,0
CUST100207,73,M,Surat,Retail,Self-Employed,396600.0,200,3,12.890686016496828,35600.0,3,58,1,12,86,0
CUST100208,35,M,Hyderabad,Retail,Salaried,371500.0,123,2,12.82530683492637,12900.0,2,34,2,2,44,0
CUST100209,63,F,Surat,Retail,Self-Employed,250000.0,135,3,12.429220196836383,5900.0,3,37,0,9,44,0
CUST100210,35,F,Ahmedabad,HNWI,Retired,250000.0,76,3,12.429220196836383,5900.0,3,44,1,18,96,0
CUST100211,59,M,Mumbai,Retail,Self-Employed,316500.0,226,2,12.66508168011904,19600.0,2,61,0,18,26,0
CUST100212,63,F,Kochi,Mass Affluent,Salaried,957400.0,21,1,13.771977600435509,127000.0,1,67,1,6,35,0
CUST100213,45,F,Hyderabad,Corporate,Retired,315300.0,55,2,12.661283017110742,13600.0,2,63,0,19,33,0
CUST100214,60,M,Chandigarh,Mass Affluent,Business Owner,250000.0,80,2,12.429220196836383,29500.0,2,97,1,17,89,0
CUST100215,35,F,Indore,Retail,Salaried,250000.0,140,1,12.429220196836383,16100.0,1,17,3,14,48,0
CUST100216,25,F,Bangalore,Retail,Student,250000.0,105,4,12.429220196836383,3400.0,4,72,0,2,87,0
CUST100217,26,F,Lucknow,Retail,Self-Employed,271300.0,223,1,12.510984184596735,13700.0,1,10,3,1,18,0
CUST100218,45,M,Kolkata,SME,Business Owner,404400.0,49,1,12.910162238924604,50700.0,1,42,0,7,92,0
CUST100219,69,F,Lucknow,Mass Affluent,Retired,250000.0,139,2,12.429220196836383,17600.0,2,96,2,3,1,0
CUST100220,27,M,Jaipur,HNWI,Salaried,250000.0,119,3,12.429220196836383,11000.0,3,98,0,5,11,0
CUST100221,45,M,Chennai,Mass Affluent,Business Owner,316800.0,78,1,12.666029095483083,28500.0,1,70,0,13,17,0
CUST100222,59,F,Lucknow,HNWI,Salaried,250000.0,11,3,12.429220196836383,10100.0,3,52,0,9,71,0
CUST100223,31,F,Hyderabad,HNWI,Business Owner,250000.0,195,2,12.429220196836383,3300.0,2,22,2,9,48,0
CUST100224,59,F,Bhopal,Retail,Retired,250000.0,52,1,12.429220196836383,8300.0,1,96,3,0,45,0
CUST100225,37,F,Chandigarh,Retail,Business Owner,341200.0,38,1,12.740227025427723,42200.0,1,74,0,17,0,0
CUST100226,64,F,Bangalore,Retail,Business Owner,250000.0,139,2,12.429220196836383,3200.0,2,51,0,11,14,0
CUST100227,52,F,Surat,Mass Affluent,Business Owner,469000.0,41,2,13.058360179622305,3400.0,2,74,0,15,60,0
CUST100228,50,M,Bhopal,Corporate,Salaried,475200.0,155,1,13.071493151405463,2900.0,1,74,2,10,12,0
