loan_id,customer_id,loan_type,loan_amount,interest_rate,tenure_months,loan_purpose,age,annual_income,employment_type,months_on_book,num_products,segment,loan_to_income,emi_to_income,income_log,loan_amount_log,credit_bureau_score,default
LOAN200014,CUST101432,Business Loan,270000.0,12.81,12,Wedding,30,250000.0,Salaried,55,1,Retail,1.08,1.08,12.429220196836383,12.506180941677357,406,0
LOAN200015,CUST106746,Home Loan,240000.0,17.26,24,Education,21,313400.0,Salaried,166,1,Retail,0.7657945118059988,0.38289725590299933,12.655238799709434,12.388398368982115,529,0
LOAN200016,CUST104646,Home Loan,137000.0,8.76,120,Wedding,61,250000.0,Salaried,125,1,HNWI,0.548,0.05480000000000001,12.429220196836383,11.827743504053695,405,1
LOAN200017,CUST100688,Auto Loan,50000.0,15.96,36,Home Purchase,45,250000.0,Self-Employed,159,4,Retail,0.2,0.06666666666666667,12.429220196836383,10.819798284210286,445,0
LOAN200018,CUST103215,Auto Loan,52000.0,10.59,24,Home Renovation,35,250000.0,Business Owner,239,5,Mass Affluent,0.208,0.104,12.429220196836383,10.859018228147887,471,0
LOAN200019,CUST103967,Auto Loan,219000.0,12.11,180,Home Renovation,34,250000.0,Self-Employed,91,5,Retail,0.876,0.05840000000000001,12.429220196836383,12.296831574998258,432,0
LOAN200020,CUST106642,Business Loan,143000.0,14.59,120,Wedding,73,290800.0,Salaried,104,2,HNWI,0.49174690508940855,0.04917469050894086,12.580394463425135,11.870606902224587,429,0
LOAN200021,CUST100875,Education Loan,178000.0,12.32,48,Debt Consolidation,48,264700.0,Salaried,173,4,Retail,0.6724593879863997,0.16811484699659995,12.486356166069786,12.08954444723597,462,1
LOAN200022,CUST105618,Personal Loan,278000.0,11.42,84,Education,69,403600.0,Self-Employed,33,3,SME,0.688800792864222,0.09840011326631742,12.908182045159215,12.535379989788607,321,0
LOAN200023,CUST101376,Education Loan,282000.0,16.17,60,Education,72,250000.0,Student,197,4,Retail,1.128,0.22560000000000002,12.429220196836383,12.549665896013254,411,1
LOAN200024,CUST106957,Business Loan,50000.0,9.66,24,Business Expansion,71,250000.0,Self-Employed,238,3,Retail,0.2,0.10000000000000002,12.429220196836383,10.819798284210286,391,0
LOAN200025,CUST100304,Personal Loan,56000.0,13.41,12,Home Renovation,50,258000.0,Self-Employed,184,3,Mass Affluent,0.21705426356589147,0.2170542635658915,12.460718739865236,10.933124826700707,522,0
LOAN200026,CUST103001,Auto Loan,50000.0,10.4,120,Wedding,57,250000.0,Salaried,109,2,Retail,0.2,0.02,12.429220196836383,10.819798284210286,390,0
LOAN200027,CUST107631,Auto Loan,50000.0,17.53,48,Medical Expense,42,250000.0,Salaried,135,2,SME,0.2,0.05000000000000001,12.429220196836383,10.819798284210286,423,0
LOAN200028,CUST106522,Auto Loan,280000.0,14.01,12,Vehicle Purchase,29,593500.0,Business Owner,81,3,SME,0.4717775905644482,0.4717775905644481,13.293794177950407,12.54254845357358,559,0
LOAN200029,CUST104630,Education Loan,322000.0,9.61,180,Business Expansion,28,250000.0,Self-Employed,85,3,Retail,1.288,0.08586666666666667,12.429220196836383,12.682309930111785,355,0
LOAN200030,CUST103848,Business Loan,485000.0,16.57,84,Business Expansion,60,250000.0,Salaried,142,4,SME,1.94,0.27714285714285714,12.429220196836383,13.091906231773164,397,0
LOAN200031,CUST100667,Business Loan,50000.0,16.32,48,Wedding,67,437500.0,Student,121,1,Mass Affluent,0.11428571428571428,0.02857142857142857,12.98883427049148,10.819798284210286,581,0
LOAN200032,CUST104370,Business Loan,50000.0,9.99,180,Medical Expense,51,250000.0,Salaried,173,2,Retail,0.2,0.013333333333333334,12.429220196836383,10.819798284210286,378,1
LOAN200033,CUST101192,Auto Loan,147000.0,13.5,240,Business Expansion,30,522500.0,Salaried,84,2,Retail,0.2813397129186603,0.014066985645933014,13.166382176694869,11.898194668458823,418,1
LOAN200034,CUST103102,Auto Loan,140000.0,14.32,48,Home Renovation,21,250000.0,Business Owner,174,1,HNWI,0.56,0.14,12.429220196836383,11.849404844423074,423,0
LOAN200035,CUST105528,Business Loan,99000.0,13.16,120,Vehicle Purchase,22,415800.0,Salaried,136,4,Retail,0.23809523809523808,0.023809523809523808,12.937962059405562,11.502885230075814,566,0
LOAN200036,CUST101183,Personal Loan,299000.0,16.56,36,Wedding,45,393700.0,Salaried,105,2,Retail,0.7594615189230378,0.25315383964101257,12.883347016933683,12.608202196848836,436,0
LOAN200037,CUST107056,Home Loan,573000.0,12.63,60,Vehicle Purchase,41,314600.0,Salaried,12,1,Mass Affluent,1.821360457724094,0.3642720915448188,12.659060448240805,13.258642740896052,330,0
LOAN200038,CUST101854,Education Loan,692000.0,16.83,48,Wedding,26,250000.0,Salaried,219,1,Retail,2.768,0.6920000000000001,12.429220196836383,13.447342679685468,451,0
LOAN200039,CUST105771,Education Loan,50000.0,14.52,12,Debt Consolidation,32,300600.0,Business Owner,109,2,Retail,0.16633399866932802,0.16633399866932802,12.613539082975452,10.819798284210286,452,0
LOAN200040,CUST102169,Auto Loan,156000.0,10.01,240,Vehicle Purchase,73,331000.0,Salaried,32,5,HNWI,0.47129909365558914,0.023564954682779457,12.709876675502672,11.957617696467539,403,0
LOAN200041,CUST107477,Business Loan,130000.0,16.96,84,Home Renovation,63,470100.0,Salaried,62,1,Mass Affluent,0.2765369070410551,0.039505272434436446,13.060702844216937,11.775297421715827,324,0
LOAN200042,CUST106875,Personal Loan,94000.0,12.13,84,Medical Expense,38,250000.0,Business Owner,77,2,Mass Affluent,0.376,0.053714285714285714,12.429220196836383,11.451060699493427,432,0
LOAN200043,CUST107462,Personal Loan,83000.0,14.03,48,Debt Consolidation,32,250100.0,Salaried,207,2,Mass Affluent,0.3318672530987605,0.08296681327469012,12.429620115258357,11.326607934898927,502,0
LOAN200044,CUST101792,Auto Loan,50000.0,16.3,60,Travel,39,654600.0,Business Owner,172,1,Retail,0.07638252367858234,0.015276504735716468,13.391781168698524,10.819798284210286,581,0
LOAN200045,CUST101368,Personal Loan,105000.0,16.64,24,Medical Expense,73,795000.0,Salaried,191,1,Mass Affluent,0.1320754716981132,0.0660377358490566,13.586098651497313,11.561725152903833,631,0
LOAN200046,CUST102754,Home Loan,146000.0,12.48,24,Debt Consolidation,74,530900.0,Salaried,35,2,SME,0.2750047089847429,0.13750235449237144,13.182330842163886,11.891368749982085,493,0
LOAN200047,CUST106254,Education Loan,84000.0,18.12,84,Travel,34,546300.0,Business Owner,100,2,Corporate,0.15376166941241076,0.021965952773201538,13.210925384878198,11.338583982516495,556,0
LOAN200048,CUST106764,Education Loan,50000.0,17.05,120,Travel,47,372400.0,Salaried,49,2,Retail,0.13426423200859292,0.013426423200859293,12.827726509666084,10.819798284210286,503,1
LOAN200049,CUST104445,Personal Loan,475000.0,10.08,60,Education,43,250000.0,Salaried,98,1,Mass Affluent,1.9,0.38000000000000006,12.429220196836383,13.07107218827772,300,1
LOAN200050,CUST105427,Personal Loan,355000.0,9.23,60,Business Expansion,28,253600.0,Salaried,63,3,Retail,1.3998422712933754,0.2799684542586751,12.443517444755098,12.779875885354993,366,0
LOAN200051,CUST103374,Business Loan,93000.0,14.39,24,Business Expansion,57,250000.0,Salaried,75,3,HNWI,0.372,0.186,12.429220196836383,11.440365524765756,400,0
LOAN200052,CUST105379,Personal Loan,56000.0,15.78,12,Wedding,48,250000.0,Salaried,157,1,Mass Affluent,0.224,0.22400000000000003,12.429220196836383,10.933124826700707,362,0
LOAN200053,CUST102160,Auto Loan,286000.0,11.07,36,Medical Expense,64,250000.0,Salaried,40,1,Mass Affluent,1.144,0.38133333333333336,12.429220196836383,12.563750586299374,325,0
LOAN200054,CUST100054,Education Loan,93000.0,14.49,12,Home Purchase,47,250000.0,Business Owner,122,1,SME,0.372,0.372,12.429220196836383,11.440365524765756,332,0
LOAN200055,CUST106915,Auto Loan,315000.0,13.27,120,Wedding,69,258400.0,Salaried,216,1,Retail,1.2190402476780187,0.12190402476780186,12.462267920852137,12.660331092405906,457,0
LOAN200056,CUST102727,Personal Loan,488000.0,9.49,24,Vehicle Purchase,23,250000.0,Retired,27,2,Retail,1.952,0.976,12.429220196836383,13.098072734013513,381,0
LOAN200057,CUST100452,Auto Loan,121000.0,15.12,84,Medical Expense,47,250000.0,Salaried,101,1,Mass Affluent,0.484,0.06914285714285714,12.429220196836383,11.703554089007538,508,0
LOAN200058,CUST102401,Home Loan,245000.0,17.0,24,Home Purchase,51,250000.0,Salaried,84,1,Retail,0.98,0.49000000000000005,12.429220196836383,12.409017571151187,327,0
LOAN200059,CUST101819,Home Loan,154000.0,18.03,24,Vehicle Purchase,36,443200.0,Student,220,3,Corporate,0.34747292418772563,0.17373646209386281,13.001778670730355,11.944714374881176,520,0
LOAN200060,CUST100494,Home Loan,197000.0,15.98,48,Education,36,250000.0,Salaried,36,1,Mass Affluent,0.788,0.19700000000000004,12.429220196836383,12.190964083849375,453,0
LOAN200061,CUST104937,Business Loan,120000.0,10.39,12,Home Renovation,52,328100.0,Business Owner,49,1,Mass Affluent,0.36574215178299296,0.36574215178299296,12.701076766795813,11.695255355062795,462,0
LOAN200062,CUST102820,Personal Loan,232000.0,15.67,36,Education,50,250000.0,Salaried,153,5,Retail,0.928,0.30933333333333335,12.429220196836383,12.354496960983985,336,0
LOAN200063,CUST105368,Auto Loan,103000.0,17.35,60,Wedding,56,250000.0,Salaried,38,3,Mass Affluent,0.412,0.08240000000000001,12.429220196836383,11.542493975902508,430,0
LOAN200064,CUST104151,Home Loan,50000.0,9.78,180,Business Expansion,49,399300.0,Salaried,177,3,Retail,0.12521913348359628,0.008347942232239752,12.897470797430847,10.819798284210286,621,0
LOAN200065,CUST100393,Personal Loan,632000.0,9.11,120,Medical Expense,53,250000.0,Self-Employed,199,3,Retail,2.528,0.2528,12.429220196836383,13.356646255406224,519,0
LOAN200066,CUST104343,Home Loan,68000.0,11.32,240,Education,34,288900.0,Student,194,1,Retail,0.23537556247836622,0.01176877812391831,12.573839347853667,11.127277689932466,447,1
LOAN200067,CUST100204,Education Loan,181000.0,10.69,180,Travel,45,506100.0,Self-Employed,124,1,Mass Affluent,0.3576368306658763,0.023842455377725086,13.134491533094309,12.10625783509458,503,0
LOAN200068,CUST106646,Home Loan,522000.0,9.14,48,Education,28,257300.0,Salaried,18,2,Retail,2.0287602020987174,0.5071900505246794,12.45800188477608,13.165424782571753,382,0
LOAN200069,CUST100476,Auto Loan,603000.0,15.25,240,Vehicle Purchase,66,386600.0,Student,142,4,Mass Affluent,1.5597516813243664,0.07798758406621831,12.865148432405894,13.30967413408274,522,0
LOAN200070,CUST100066,Personal Loan,513000.0,9.81,120,Travel,69,250000.0,Salaried,203,2,Retail,2.052,0.20520000000000002,12.429220196836383,13.148033073468746,324,0
LOAN200071,CUST102557,Personal Loan,74000.0,11.64,180,Vehicle Purchase,67,250000.0,Retired,186,2,Corporate,0.296,0.019733333333333332,12.429220196836383,11.211833885608513,432,0
LOAN200072,CUST100175,Personal Loan,245000.0,18.44,120,Wedding,45,311700.0,Retired,191,1,Retail,0.7860121912094963,0.07860121912094964,12.649799673963308,12.409017571151187,450,0
LOAN200073,CUST105439,Auto Loan,131000.0,13.45,12,Medical Expense,51,322600.0,Self-Employed,113,1,Corporate,0.4060756354618723,0.4060756354618723,12.684171544482453,11.782960235741939,582,0
LOAN200074,CUST107610,Education Loan,502000.0,16.85,84,Home Purchase,23,250000.0,Salaried,60,2,Retail,2.008,0.28685714285714287,12.429220196836383,13.126357390703754,364,1
LOAN200075,CUST104512,Education Loan,594000.0,12.79,48,Wedding,27,280800.0,Retired,207,1,Retail,2.1153846153846154,0.5288461538461539,12.545401512381012,13.29463628184505,449,0
LOAN200076,CUST106196,Personal Loan,429000.0,15.62,84,Business Expansion,54,250000.0,Student,46,3,Retail,1.716,0.24514285714285713,12.429220196836383,12.969214528909768,402,0
LOAN200077,CUST100465,Home Loan,319000.0,17.24,120,Medical Expense,73,250000.0,Self-Employed,37,2,HNWI,1.276,0.12760000000000002,12.429220196836383,12.672949516558306,316,0
LOAN200078,CUST106927,Personal Loan,77000.0,15.01,36,Home Renovation,36,250000.0,Salaried,73,4,Mass Affluent,0.308,0.10266666666666666,12.429220196836383,11.251573687764477,375,0
LOAN200079,CUST104331,Business Loan,101000.0,13.77,36,Debt Consolidation,35,250000.0,Student,187,1,Mass Affluent,0.404,0.13466666666666668,12.429220196836383,11.522885696764481,434,0
LOAN200080,CUST101913,Business Loan,291000.0,9.56,12,Debt Consolidation,62,408600.0,Retired,175,4,Retail,0.7121879588839941,0.7121879588839941,12.920494408743966,12.581081982573842,414,0
LOAN200081,CUST103840,Education Loan,303000.0,8.57,240,Education,68,250000.0,Business Owner,221,2,Mass Affluent,1.212,0.0606,12.429220196836383,12.621491384816093,472,0
LOAN200082,CUST102005,Personal Loan,602000.0,8.74,12,Travel,27,356700.0,Self-Employed,76,2,Corporate,1.6876927389963554,1.6876927389963554,12.784653174819363,13.308014385419147,396,1
LOAN200083,CUST100339,Business Loan,319000.0,17.39,120,Home Renovation,72,592800.0,Salaried,40,1,Mass Affluent,0.5381241565452092,0.05381241565452092,13.292614039872173,12.672949516558306,500,0
LOAN200084,CUST104605,Auto Loan,397000.0,16.22,36,Travel,46,459400.0,Salaried,152,2,Retail,0.8641706573791903,0.2880568857930634,13.037678745987051,12.891694078557842,501,0
LOAN200085,CUST101057,Auto Loan,137000.0,15.92,84,Wedding,62,328200.0,Salaried,129,1,Mass Affluent,0.4174283973187081,0.059632628188386876,12.701381504556094,11.827743504053695,451,0
LOAN200086,CUST101918,Home Loan,140000.0,10.23,48,Business Expansion,45,250000.0,Salaried,165,4,Retail,0.56,0.14,12.429220196836383,11.849404844423074,423,0
LOAN200087,CUST104266,Business Loan,149000.0,9.54,120,Medical Expense,39,250000.0,Salaried,111,1,Mass Affluent,0.596,0.05960000000000001,12.429220196836383,11.91170829631447,468,0
LOAN200088,CUST101535,Business Loan,79000.0,16.38,180,Travel,22,661700.0,Salaried,227,3,Mass Affluent,0.11938945141302705,0.00795929676086847,13.402569071257888,11.277215789596893,701,0
LOAN200089,CUST106716,Personal Loan,175000.0,10.28,240,Medical Expense,51,339600.0,Business Owner,183,2,Mass Affluent,0.5153121319199058,0.025765606595995288,12.735526678055749,12.07254696717504,535,0
LOAN200090,CUST107281,Home Loan,539000.0,9.16,120,Debt Consolidation,35,287400.0,Self-Employed,195,4,Mass Affluent,1.8754349338900487,0.1875434933890049,12.56863373209213,13.197472705176983,341,0
LOAN200091,CUST106025,Home Loan,383000.0,11.04,84,Education,62,250000.0,Self-Employed,145,3,SME,1.532,0.21885714285714286,12.429220196836383,12.855792879125431,457,0
LOAN200092,CUST103049,Education Loan,224000.0,11.98,60,Education,59,250000.0,Salaried,165,2,SME,0.896,0.17920000000000003,12.429220196836383,12.319405795112926,424,0
LOAN200093,CUST100394,Business Loan,92000.0,9.76,180,Home Renovation,59,250000.0,Retired,23,2,Retail,0.368,0.024533333333333334,12.429220196836383,11.429554725537322,323,0
LOAN200094,CUST100310,Education Loan,345000.0,10.4,120,Vehicle Purchase,56,380700.0,Salaried,134,3,Corporate,0.9062253743104807,0.09062253743104808,12.849769569107353,12.75130259456002,469,0
LOAN200095,CUST107812,Personal Loan,120000.0,12.47,60,Debt Consolidation,26,466400.0,Salaried,200,2,Mass Affluent,0.25728987993138935,0.051457975986277875,13.052801058098455,11.695255355062795,555,0
LOAN200096,CUST101768,Auto Loan,112000.0,14.56,48,Debt Consolidation,24,412600.0,Student,66,3,Retail,0.2714493456131847,0.06786233640329617,12.930236303271222,11.626263078808801,498,0
LOAN200097,CUST101481,Education Loan,67000.0,8.52,120,Wedding,21,250000.0,Business Owner,40,1,Retail,0.268,0.026800000000000004,12.429220196836383,11.112462823634855,339,0
LOAN200098,CUST100937,Auto Loan,182000.0,10.4,12,Medical Expense,29,250000.0,Student,13,2,Retail,0.728,0.728,12.429220196836383,12.111767460549332,385,0
LOAN200099,CUST104264,Home Loan,331000.0,10.76,24,Debt Consolidation,53,893700.0,Student,235,5,SME,0.37037037037037035,0.18518518518518517,13.703126546312575,12.709876675502672,531,0
LOAN200100,CUST102884,Personal Loan,250000.0,18.3,48,Business Expansion,40,312400.0,Salaried,44,2,HNWI,0.8002560819462228,0.2000640204865557,12.652042897966872,12.429220196836383,363,0
LOAN200101,CUST104615,Education Loan,670000.0,18.5,60,Education,44,250000.0,Salaried,117,1,Corporate,2.68,0.536,12.429220196836383,13.415034483903348,409,0
LOAN200102,CUST104476,Home Loan,449000.0,16.0,24,Home Renovation,71,250000.0,Self-Employed,203,2,Corporate,1.796,0.898,12.429220196836383,13.014780393893403,498,0
LOAN200103,CUST101395,Auto Loan,171000.0,13.5,84,Vehicle Purchase,52,321800.0,Salaried,231,3,Corporate,0.531385954008701,0.07591227914410015,12.681688621055791,12.049424683420915,500,0
LOAN200104,CUST105670,Education Loan,50000.0,11.55,36,Home Renovation,40,278100.0,Salaried,68,1,Mass Affluent,0.17979144192736426,0.05993048064245475,12.535739636044429,10.819798284210286,407,1
LOAN200105,CUST104425,Business Loan,277000.0,16.9,60,Home Purchase,68,250000.0,Self-Employed,114,3,Retail,1.108,0.22160000000000002,12.429220196836383,12.531776395271262,462,1
LOAN200106,CUST102154,Auto Loan,79000.0,16.68,24,Education,59,251100.0,Salaried,224,1,Retail,0.314615690959777,0.1573078454798885,12.433610527614848,11.277215789596893,509,0
LOAN200107,CUST100813,Auto Loan,327000.0,18.11,180,Travel,36,990400.0,Salaried,20,1,Retail,0.3301696284329564,0.022011308562197095,13.805865190605012,12.69771850797869,649,1
LOAN200108,CUST103830,Auto Loan,205000.0,10.93,120,Home Renovation,69,300900.0,Salaried,166,1,HNWI,0.6812894649385178,0.06812894649385177,12.614536585975857,12.230770136157428,533,0
LOAN200109,CUST105353,Business Loan,265000.0,13.61,12,Home Purchase,46,250000.0,Salaried,25,2,Retail,1.06,1.06,12.429220196836383,12.487488878546145,300,0
LOAN200110,CUST100228,Personal Loan,100000.0,16.93,12,Business Expansion,50,475200.0,Salaried,155,1,Corporate,0.21043771043771045,0.21043771043771045,13.071493151405463,11.51293546492023,552,0
LOAN200111,CUST103408,Education Loan,346000.0,16.03,240,Education,56,250000.0,Self-Employed,85,1,Retail,1.384,0.06920000000000001,12.429220196836383,12.754196944209095,300,0
LOAN200112,CUST101268,Education Loan,116000.0,18.15,120,Business Expansion,72,368600.0,Retired,225,2,Retail,0.31470428648941945,0.03147042864894194,12.817470037182167,11.661354090741,498,1
LOAN200113,CUST101623,Personal Loan,58000.0,11.9,24,Education,21,250000.0,Retired,54,4,SME,0.232,0.116,12.429220196836383,10.968215530759236,339,0
LOAN200114,CUST104369,Education Loan,229000.0,15.44,84,Debt Consolidation,49,250000.0,Self-Employed,6,3,Retail,0.916,0.13085714285714287,12.429220196836383,12.34148164933907,320,0
LOAN200115,CUST100614,Business Loan,256000.0,15.56,60,Medical Expense,58,250000.0,Salaried,145,3,Retail,1.024,0.20480000000000004,12.429220196836383,12.45293662970407,313,0
LOAN200116,CUST106856,Home Loan,75000.0,17.6,36,Vehicle Purchase,58,250000.0,Salaried,70,4,Mass Affluent,0.3,0.10000000000000002,12.429220196836383,11.225256725762893,511,0
LOAN200117,CUST100081,Education Loan,50000.0,11.43,180,Wedding,44,365400.0,Self-Employed,52,1,Corporate,0.13683634373289547,0.009122422915526363,12.808750659649172,10.819798284210286,360,0
LOAN200118,CUST101515,Auto Loan,185000.0,13.75,48,Vehicle Purchase,71,585100.0,Salaried,131,3,Corporate,0.3161852674756452,0.0790463168689113,13.27953976088442,12.128116509451258,574,0
LOAN200119,CUST105932,Education Loan,148000.0,14.14,12,Education,39,250000.0,Salaried,100,2,Retail,0.592,0.5920000000000001,12.429220196836383,11.904974309480181,419,1
LOAN200120,CUST102602,Education Loan,69000.0,14.79,36,Travel,63,404000.0,Salaried,137,4,Mass Affluent,0.1707920792079208,0.05693069306930694,12.90917263218775,11.141876276228,582,0
LOAN200121,CUST104800,Education Loan,176000.0,8.77,48,Education,54,290800.0,Salaried,94,3,Mass Affluent,0.6052269601100413,0.15130674002751032,12.580394463425135,12.07824495582233,435,0
LOAN200122,CUST105881,Home Loan,283000.0,15.98,180,Debt Consolidation,74,250000.0,Salaried,99,1,Retail,1.132,0.07546666666666667,12.429220196836383,12.553205710188037,446,0
LOAN200123,CUST103291,Education Loan,1080000.0,15.1,120,Home Renovation,46,250000.0,Self-Employed,151,1,Retail,4.32,0.43200000000000005,12.429220196836383,13.8924725250259,337,1
LOAN200124,CUST103445,Personal Loan,163000.0,17.61,180,Wedding,59,250000.0,Salaried,168,3,Retail,0.652,0.04346666666666667,12.429220196836383,12.001511614739405,430,0
LOAN200125,CUST104079,Auto Loan,164000.0,15.92,60,Wedding,62,275600.0,Salaried,43,3,Retail,0.5950653120464441,0.11901306240928883,12.526709446562082,12.00762780434872,398,0
LOAN200126,CUST106877,Home Loan,211000.0,17.0,24,Wedding,21,306400.0,Salaried,216,3,Retail,0.6886422976501305,0.34432114882506526,12.63264998055082,12.259618151783465,452,0
LOAN200127,CUST100529,Personal Loan,94000.0,14.96,180,Home Purchase,70,250000.0,Student,218,2,Retail,0.376,0.025066666666666664,12.429220196836383,11.451060699493427,532,0
LOAN200128,CUST102572,Business Loan,68000.0,18.25,84,Medical Expense,60,419400.0,Salaried,63,1,Retail,0.16213638531235097,0.02316234075890728,12.946582781805722,11.127277689932466,473,0
LOAN200129,CUST102437,Education Loan,50000.0,12.05,240,Vehicle Purchase,57,707800.0,Salaried,87,2,Mass Affluent,0.07064142413111048,0.0035320712065555243,13.469918259720984,10.819798284210286,546,0
LOAN200130,CUST102054,Home Loan,91000.0,15.89,24,Business Expansion,59,1949900.0,Retired,54,1,Retail,0.0466690599517924,0.0233345299758962,14.483289160020359,11.418625774449598,728,0
LOAN200131,CUST107663,Home Loan,139000.0,12.86,36,Vehicle Purchase,54,250000.0,Salaried,84,4,Mass Affluent,0.556,0.18533333333333335,12.429220196836383,11.842236406331555,432,0
LOAN200132,CUST105362,Business Loan,326000.0,11.8,120,Home Purchase,52,273400.0,Salaried,225,4,Retail,1.1923920994879298,0.11923920994879297,12.518694860909774,12.694655727828803,549,0
LOAN200133,CUST103399,Personal Loan,2000000.0,9.37,84,Medical Expense,59,336500.0,Salaried,119,2,Retail,5.943536404160476,0.8490766291657822,12.726356399830706,14.508658238524095,307,0
LOAN200134,CUST106814,Auto Loan,266000.0,16.61,12,Travel,40,250000.0,Retired,113,1,Mass Affluent,1.064,1.064,12.429220196836383,12.491255347155265,401,0
LOAN200135,CUST101269,Business Loan,61000.0,15.53,240,Business Expansion,23,449600.0,Salaried,15,4,HNWI,0.1356761565836299,0.0067838078291814945,13.016115801758433,11.0186455364637,413,0
LOAN200136,CUST107035,Personal Loan,205000.0,13.49,84,Debt Consolidation,30,258300.0,Salaried,236,3,Mass Affluent,0.7936507936507936,0.11337868480725623,12.461880850543723,12.230770136157428,407,0
LOAN200137,CUST105140,Education Loan,432000.0,11.1,36,Home Renovation,41,250000.0,Salaried,96,3,Corporate,1.728,0.5760000000000001,12.429220196836383,12.976183182038383,464,0
LOAN200138,CUST106579,Business Loan,434000.0,12.29,12,Home Renovation,44,343100.0,Business Owner,115,1,Retail,1.2649373360536287,1.2649373360536285,12.74578014344445,12.980802117227352,336,0
LOAN200139,CUST105290,Education Loan,151000.0,14.95,84,Education,65,341500.0,Self-Employed,183,2,Mass Affluent,0.44216691068814057,0.06316670152687723,12.74110588624638,11.92504173829169,446,0
LOAN200140,CUST107136,Personal Loan,724000.0,16.75,120,Home Renovation,51,282100.0,Salaried,31,1,Corporate,2.566465792272244,0.2566465792272244,12.550020441826058,13.49254805258237,351,0
LOAN200141,CUST104419,Education Loan,220000.0,11.21,60,Vehicle Purchase,26,250000.0,Business Owner,191,5,Retail,0.88,0.176,12.429220196836383,12.301387370778713,348,1
LOAN200142,CUST101370,Auto Loan,98000.0,15.05,24,Vehicle Purchase,68,250000.0,Self-Employed,121,2,Retail,0.392,0.196,12.429220196836383,11.49273296168228,452,0
LOAN200143,CUST101745,Home Loan,461000.0,9.4,36,Home Renovation,73,250000.0,Retired,209,2,Corporate,1.844,0.6146666666666667,12.429220196836383,13.04115549117383,412,0
LOAN200144,CUST107834,Home Loan,198000.0,11.92,240,Debt Consolidation,70,315900.0,Salaried,107,2,Corporate,0.6267806267806267,0.03133903133903134,12.663184152343888,12.19602736016897,477,0
LOAN200145,CUST100123,Home Loan,326000.0,13.92,120,Vehicle Purchase,46,312700.0,Self-Employed,129,2,SME,1.0425327790214263,0.10425327790214263,12.653002741394129,12.694655727828803,505,0
LOAN200146,CUST104648,Auto Loan,171000.0,15.11,36,Wedding,36,250000.0,Self-Employed,34,4,Corporate,0.684,0.228,12.429220196836383,12.049424683420915,361,0
