entity_id,entity_type,country,doc_type,doc_verified,num_bank_accounts,txn_volume_monthly,has_pep_link,has_sanction_link,adverse_media_hits,years_in_business,ownership_transparency,txn_volume_log,high_risk_country,risk_score,risk_category,alert_flag
ENT300033,Corporate,UK,Driving License,1,5,69300.0,0,0,0,2,Medium,11.146214615088313,0,0,Low,0
ENT300034,Corporate,Mauritius,Passport,1,4,612300.0,0,0,3,25,Medium,13.324979270651058,1,36,Medium,0
ENT300035,Corporate,Germany,Driving License,1,4,278000.0,0,0,0,15,Medium,12.535379989788607,0,0,Low,0
ENT300036,Individual,Mauritius,Voter ID,1,1,145700.0,0,0,0,26,Medium,11.889311855577725,1,12,Low,0
ENT300037,Corporate,Singapore,Voter ID,1,2,104700.0,0,0,0,5,High,11.558863947911393,0,0,Low,0
ENT300038,Individual,Panama,PAN,1,7,529000.0,0,0,0,23,High,13.178745601197818,1,12,Low,0
ENT300039,Corporate,UK,Passport,1,6,175100.0,0,0,0,9,Medium,12.073118229279908,0,0,Low,0
ENT300040,Corporate,Singapore,PAN,0,1,38700.0,0,0,1,27,High,10.563620718477313,0,13,Low,0
ENT300041,Corporate,Panama,Passport,1,5,52300.0,0,0,1,24,High,10.864770770329113,1,20,Low,0
ENT300042,Trust,Cayman Islands,Voter ID,1,7,27600.0,0,0,0,8,Medium,10.225607282932941,1,12,Low,0
ENT300043,Partnership,USA,Driving License,1,3,37600.0,0,0,0,28,Medium,10.534785924769006,0,0,Low,0
ENT300044,Individual,China,PAN,1,7,186300.0,0,0,0,26,Low,12.135118924261802,0,6,Low,0
ENT300045,Individual,Singapore,Passport,0,2,182300.0,0,0,0,10,High,12.11341444611523,0,5,Low,0
ENT300046,Corporate,Hong Kong,Voter ID,1,6,113400.0,0,0,1,3,Medium,11.638685488579059,0,8,Low,0
ENT300047,Individual,Germany,PAN,1,1,213700.0,0,0,0,10,Medium,12.272333120753473,0,0,Low,0
ENT300048,Partnership,Singapore,Passport,1,5,6600.0,0,0,0,29,High,8.79497643168877,0,0,Low,0
ENT300049,Individual,Seychelles,PAN,1,2,14100.0,0,0,0,24,Medium,9.55400099583723,1,12,Low,0
ENT300050,Trust,Panama,PAN,1,4,152500.0,0,0,0,2,Medium,11.934926432385152,1,12,Low,0
ENT300051,Individual,USA,PAN,1,1,339600.0,0,0,0,10,Medium,12.735526678055749,0,0,Low,0
ENT300052,Individual,Hong Kong,Voter ID,1,7,167100.0,0,0,0,28,Low,12.026353699006034,0,6,Low,0
ENT300053,Individual,Switzerland,Passport,1,3,279800.0,0,0,2,18,High,12.541833915188546,0,16,Low,0
ENT300054,Individual,Hong Kong,Aadhaar,1,7,21000.0,0,0,0,16,High,9.952325334619427,0,0,Low,0
ENT300055,Partnership,India,Passport,1,2,21200.0,0,0,0,16,Low,9.961803629358965,0,6,Low,0
ENT300056,Individual,USA,Voter ID,1,5,47000.0,0,0,0,8,Medium,10.757924157061597,0,0,Low,0
ENT300057,Individual,USA,Aadhaar,1,2,41200.0,0,0,0,24,Medium,10.626217806887722,0,0,Low,0
ENT300058,Corporate,Cayman Islands,Passport,1,6,515500.0,0,0,0,4,Low,13.15289452230148,1,18,Low,0
ENT300059,Partnership,Singapore,Passport,1,6,6900.0,0,0,1,18,High,8.839421607620602,0,8,Low,0
ENT300060,Individual,UK,Aadhaar,1,4,168900.0,0,0,0,28,Medium,12.037068023441478,0,0,Low,0
ENT300061,Individual,Cyprus,PAN,1,7,6100.0,0,0,0,20,High,8.716207971151853,1,12,Low,0
ENT300062,Corporate,Cayman Islands,Voter ID,1,4,63100.0,0,0,0,14,Medium,11.052491896264268,1,12,Low,0
ENT300063,Individual,Cayman Islands,PAN,1,1,73200.0,0,0,1,16,Low,11.200964361058276,1,26,Medium,0
ENT300064,Corporate,BVI,Passport,1,6,48500.0,0,0,3,21,Low,10.789339695269716,1,42,High,1
ENT300065,Corporate,BVI,Passport,1,4,27300.0,0,0,0,19,High,10.214678610538817,1,12,Low,0
ENT300066,Corporate,Mauritius,Driving License,1,7,507200.0,0,0,0,28,Medium,13.136662653712042,1,12,Low,0
ENT300067,Individual,Hong Kong,PAN,0,4,22100.0,0,0,0,15,High,10.003378135350923,0,5,Low,0
ENT300068,Individual,Switzerland,Driving License,0,4,103300.0,0,0,1,6,High,11.545402335602985,0,13,Low,0
ENT300069,Individual,Hong Kong,Voter ID,1,1,142900.0,0,0,0,24,Medium,11.869907361794104,0,0,Low,0
ENT300070,Trust,India,Passport,1,6,358000.0,0,0,0,22,Medium,12.788291058675025,0,0,Low,0
ENT300071,Individual,Singapore,Passport,1,6,270800.0,0,0,0,5,Low,12.509139512775626,0,6,Low,0
ENT300072,Corporate,BVI,Aadhaar,1,1,284300.0,0,0,0,21,Medium,12.557788815044091,1,12,Low,0
ENT300073,Corporate,Cayman Islands,Aadhaar,1,4,12000.0,0,0,0,2,High,9.392745258631441,1,12,Low,0
ENT300074,Individual,Panama,Aadhaar,1,5,198700.0,0,0,0,27,Low,12.199556461239876,1,18,Low,0
ENT300075,Individual,Switzerland,Aadhaar,1,2,108000.0,1,0,0,20,High,11.58989576532275,0,15,Low,1
ENT300076,Individual,Singapore,Aadhaar,1,6,64100.0,0,0,1,22,Low,11.068215243411098,0,14,Low,0
ENT300077,Trust,Switzerland,Passport,0,6,327700.0,0,0,0,19,High,12.699856886253809,0,5,Low,0
ENT300078,Individual,USA,Driving License,0,2,114500.0,0,0,1,19,Medium,11.648338835562747,0,13,Low,0
ENT300079,Corporate,BVI,PAN,1,5,60500.0,0,0,0,19,Medium,11.010415172807951,1,12,Low,0
ENT300080,Corporate,Cayman Islands,Passport,1,7,45400.0,0,0,0,2,Medium,10.723289410218579,1,12,Low,0
ENT300081,Individual,Panama,Aadhaar,1,6,36000.0,0,0,0,22,Low,10.491301994830229,1,18,Low,0
ENT300082,Individual,USA,Aadhaar,1,5,14300.0,0,0,0,3,High,9.568084743872936,0,0,Low,0
ENT300083,Trust,Mauritius,PAN,1,6,37700.0,0,0,0,25,High,10.537441898283253,1,12,Low,0
ENT300084,Corporate,Cyprus,Voter ID,1,3,129800.0,0,1,1,2,High,11.773757787382696,1,60,High,1
ENT300085,Individual,Singapore,PAN,1,6,20200.0,0,0,0,7,High,9.913487387114461,0,0,Low,0
ENT300086,Individual,UK,Passport,1,6,30900.0,0,0,0,13,High,10.33854382482173,0,0,Low,0
ENT300087,Individual,Hong Kong,Voter ID,1,6,47700.0,0,0,0,6,High,10.77270764101727,0,0,Low,0
ENT300088,Corporate,Mauritius,Aadhaar,1,4,154400.0,0,0,0,23,High,11.947308393235778,1,12,Low,0
ENT300089,Individual,Cayman Islands,Driving License,1,2,5000.0,0,0,0,29,High,8.517393171418904,1,12,Low,0
ENT300090,Partnership,UK,Driving License,1,3,10300.0,0,0,2,17,High,9.239996256883693,0,16,Low,0
ENT300091,Corporate,Switzerland,Driving License,0,1,135000.0,1,0,0,6,High,11.813037464800539,0,20,Low,1
ENT300092,Individual,Cayman Islands,Voter ID,1,2,81700.0,0,0,0,1,Medium,11.310821520675269,1,12,Low,0
ENT300093,Individual,UAE,PAN,1,2,57800.0,0,0,0,1,Medium,10.96476135554887,0,0,Low,0
ENT300094,Corporate,Seychelles,Passport,0,5,410700.0,0,0,0,9,High,12.925620734808986,1,17,Low,0
ENT300095,Individual,China,PAN,1,6,110100.0,0,0,0,19,Low,11.609153405321658,0,6,Low,0
ENT300096,Individual,Panama,PAN,1,2,33200.0,0,0,0,7,Low,10.410335274932896,1,18,Low,0
ENT300097,Corporate,Singapore,PAN,0,6,121400.0,0,0,0,26,Medium,11.7068543948059,0,5,Low,0
ENT300098,Individual,BVI,Aadhaar,1,7,37300.0,0,0,0,19,High,10.526775414924009,1,12,Low,0
ENT300099,Partnership,Mauritius,Passport,1,5,352800.0,0,0,0,8,High,12.773659437577876,1,12,Low,0
ENT300100,Individual,USA,Aadhaar,1,3,37200.0,0,0,0,28,Medium,10.524090921620362,0,0,Low,0
ENT300101,Trust,Panama,Passport,1,1,39800.0,0,0,0,9,Medium,10.591647316585027,1,12,Low,0
ENT300102,Individual,Hong Kong,Driving License,1,1,147400.0,0,0,0,16,Medium,11.900912042974875,0,0,Low,0
ENT300103,Individual,USA,Passport,1,7,19300.0,0,0,0,20,High,9.867912187022208,0,0,Low,0
ENT300104,Corporate,Panama,Passport,1,6,130900.0,0,0,0,25,Medium,11.782196591288216,1,12,Low,0
ENT300105,Trust,USA,Aadhaar,1,1,125500.0,0,0,0,20,Medium,11.74006900564972,0,0,Low,0
ENT300106,Individual,Panama,Passport,1,7,124900.0,0,0,0,28,High,11.735276702486741,1,12,Low,0
ENT300107,Corporate,BVI,Passport,1,7,55300.0,0,0,0,5,High,10.920546270529568,1,12,Low,0
ENT300108,Corporate,Cayman Islands,Aadhaar,1,6,106700.0,0,0,0,9,Low,11.577785809317154,1,18,Low,0
ENT300109,Corporate,China,Driving License,1,3,52100.0,0,0,0,26,High,10.860939421415225,0,0,Low,0
ENT300110,Trust,Singapore,Passport,1,1,28500.0,0,0,0,8,Low,10.25769445336048,0,6,Low,0
ENT300111,Individual,UAE,Aadhaar,1,3,88400.0,0,0,0,8,Medium,11.389638560778947,0,0,Low,0
ENT300112,Trust,USA,Passport,1,5,177300.0,0,0,0,19,Medium,12.085604132204319,0,0,Low,0
ENT300113,Corporate,China,Driving License,1,3,144600.0,0,0,0,10,Medium,11.88173350431221,0,0,Low,0
ENT300114,Corporate,Cayman Islands,Voter ID,1,1,383500.0,0,0,0,2,High,12.857097507347978,1,12,Low,0
ENT300115,Individual,Cyprus,Passport,1,4,61200.0,0,0,0,1,High,11.021918808236205,1,12,Low,0
ENT300116,Corporate,Mauritius,Passport,1,2,240200.0,0,0,0,3,Low,12.38923135181669,1,18,Low,0
ENT300117,Individual,USA,PAN,0,7,176400.0,0,0,0,11,Medium,12.080515091473,0,5,Low,0
ENT300118,Corporate,China,PAN,1,2,238100.0,0,0,1,14,Medium,12.380450232382136,0,8,Low,0
ENT300119,Corporate,Cayman Islands,Passport,1,1,24600.0,0,0,0,21,High,10.110542371500753,1,12,Low,0
ENT300120,Corporate,UAE,Aadhaar,1,1,53400.0,0,0,0,23,Medium,10.885584751364705,0,0,Low,0
ENT300121,Trust,Hong Kong,Driving License,1,5,49000.0,0,0,0,15,Medium,10.799595985047786,0,0,Low,0
ENT300122,Corporate,China,Aadhaar,1,7,28400.0,0,0,0,14,High,10.254179634797001,0,0,Low,0
ENT300123,Corporate,USA,Voter ID,1,3,149100.0,0,0,0,18,Low,11.912379207638454,0,6,Low,0
ENT300124,Partnership,Singapore,Voter ID,1,7,48700.0,0,0,0,23,Low,10.793454842740767,0,6,Low,0
ENT300125,Corporate,China,Voter ID,1,6,76100.0,0,0,0,6,High,11.239816684367907,0,0,Low,0
ENT300126,Corporate,UAE,Passport,1,7,13000.0,0,0,0,6,Medium,9.472781556562168,0,0,Low,0
ENT300127,Corporate,Seychelles,Voter ID,1,5,94200.0,0,0,0,11,Medium,11.45318607621936,1,12,Low,0
ENT300128,Individual,Seychelles,Passport,1,2,23300.0,0,0,0,24,Low,10.056251557087757,1,18,Low,0
ENT300129,Trust,Singapore,Voter ID,0,2,2400.0,0,0,0,24,High,7.783640596221253,0,5,Low,0
ENT300130,Trust,Germany,Aadhaar,1,4,135000.0,0,0,2,23,Medium,11.813037464800539,0,16,Low,0
ENT300131,Corporate,Mauritius,Passport,1,4,22700.0,0,0,0,8,High,10.030164255362632,1,12,Low,0
ENT300132,Individual,UAE,Passport,1,5,49300.0,0,0,0,23,Low,10.805699643800724,0,6,Low,0
ENT300133,Individual,BVI,Driving License,1,5,717500.0,0,0,0,12,Medium,13.483529620343164,1,12,Low,0
ENT300134,Partnership,Singapore,Aadhaar,1,2,66700.0,0,0,0,19,Medium,11.107975224295076,0,0,Low,0
ENT300135,Corporate,BVI,Aadhaar,0,7,123800.0,0,0,1,29,Medium,11.726430716744437,1,25,Medium,0
ENT300136,Individual,Cayman Islands,Aadhaar,1,1,79800.0,0,0,0,8,Medium,11.287291314687705,1,12,Low,0
ENT300137,Individual,BVI,PAN,1,6,82200.0,0,0,0,22,High,11.316922746420394,1,12,Low,0
ENT300138,Individual,Cyprus,Passport,1,4,225000.0,0,0,0,4,Medium,12.323860125621126,1,12,Low,0
ENT300139,Corporate,Seychelles,PAN,1,7,69600.0,0,0,0,12,Medium,11.150534214035387,1,12,Low,0
ENT300140,Partnership,UAE,Driving License,1,2,59200.0,0,0,0,5,Medium,10.988693712621323,0,0,Low,0
ENT300141,Individual,Switzerland,PAN,1,1,30300.0,0,0,0,3,High,10.318935994253193,0,0,Low,0
ENT300142,Corporate,UAE,Voter ID,1,3,33000.0,0,0,0,13,Medium,10.404293143019792,0,0,Low,0
ENT300143,Individual,Singapore,Aadhaar,0,6,31100.0,0,0,1,24,High,10.344995251991222,0,13,Low,0
ENT300144,Individual,Cyprus,PAN,1,6,21800.0,0,0,0,7,High,9.989711119284745,1,12,Low,0
ENT300145,Individual,Singapore,Aadhaar,1,2,25100.0,0,0,1,21,High,10.130662964963708,0,8,Low,0
ENT300146,Corporate,Switzerland,Voter ID,0,6,30500.0,0,0,0,2,Low,10.32551474894327,0,11,Low,0
ENT300147,Corporate,Mauritius,Aadhaar,1,6,117000.0,0,1,0,3,High,11.669937760751914,1,52,High,1
ENT300148,Corporate,Cayman Islands,Driving License,0,6,57700.0,0,0,1,8,Medium,10.96302978336854,1,25,Medium,0
ENT300149,Corporate,USA,PAN,1,3,7000.0,0,0,0,18,High,8.853808274977197,0,0,Low,0
ENT300150,Corporate,Panama,Aadhaar,1,6,31300.0,0,0,0,20,Low,10.351405324899678,1,18,Low,0
ENT300151,Corporate,Mauritius,PAN,1,5,393100.0,0,0,0,6,Low,12.88182185528868,1,18,Low,0
ENT300152,Partnership,UAE,Voter ID,1,6,98700.0,0,0,0,7,High,11.499850357082506,0,0,Low,0
ENT300153,Corporate,Mauritius,PAN,1,1,135700.0,0,0,0,14,Medium,11.818209214992565,1,12,Low,0
ENT300154,Individual,Panama,Passport,1,2,77300.0,0,0,0,12,High,11.255462171102444,1,12,Low,0
ENT300155,Corporate,China,Voter ID,1,4,64800.0,0,0,0,14,Medium,11.079076314320059,0,0,Low,0
ENT300156,Individual,Hong Kong,Voter ID,1,6,78900.0,0,0,1,6,Medium,11.275949181024878,0,8,Low,0
ENT300157,Corporate,UAE,Voter ID,1,6,32200.0,0,1,0,2,Medium,10.379752786950895,0,40,Medium,1
ENT300158,Individual,Panama,Voter ID,1,3,96200.0,0,0,0,3,High,11.474195031610165,1,12,Low,0
ENT300159,Individual,Switzerland,Voter ID,1,5,155700.0,0,0,0,11,High,11.955692780409043,0,0,Low,0
ENT300160,Individual,Cyprus,Driving License,1,6,209400.0,1,0,0,17,High,12.252006352956359,1,27,Medium,1
ENT300161,Individual,Seychelles,Aadhaar,1,7,50900.0,1,0,2,17,Medium,10.837637848711049,1,43,High,1
ENT300162,Corporate,UK,Passport,1,4,109100.0,1,0,3,26,Medium,11.600029337681997,0,39,Medium,1
ENT300163,Individual,Hong Kong,Aadhaar,1,4,15500.0,0,0,0,11,Low,9.648659816955295,0,6,Low,0
ENT300164,Individual,Singapore,Driving License,1,1,34600.0,1,0,0,27,High,10.451637862362272,0,15,Low,1
ENT300165,Individual,China,Passport,1,7,144300.0,0,0,0,11,Low,11.87965667474488,0,6,Low,0
ENT300166,Individual,UK,PAN,0,5,177300.0,0,0,0,5,Low,12.085604132204319,0,11,Low,0
ENT300167,Partnership,UK,PAN,1,1,25500.0,0,0,0,7,High,10.146472946063877,0,0,Low,0
ENT300168,Partnership,UAE,Aadhaar,1,7,50800.0,0,0,0,2,High,10.835671318412196,0,0,Low,0
ENT300169,Corporate,UK,Voter ID,1,3,33500.0,0,0,0,8,Low,10.419330568113901,0,6,Low,0
ENT300170,Corporate,UK,PAN,1,3,72100.0,0,0,0,28,Low,11.185823192802378,0,6,Low,0
ENT300171,Partnership,Mauritius,Passport,1,6,120700.0,0,0,1,22,Medium,11.701071692055445,1,20,Low,0
ENT300172,Corporate,USA,Voter ID,1,3,52900.0,0,0,1,28,Low,10.876177521259402,0,14,Low,0
ENT300173,Individual,Cayman Islands,PAN,1,2,57700.0,0,0,0,2,High,10.96302978336854,1,12,Low,0
ENT300174,Corporate,Singapore,Driving License,1,2,238800.0,0,0,0,17,High,12.383385848096506,0,0,Low,0
ENT300175,Individual,UAE,Voter ID,1,1,5400.0,0,0,2,8,High,8.594339400592892,0,16,Low,0
ENT300176,Individual,Switzerland,Passport,1,5,399500.0,0,0,0,16,High,12.897971547314246,0,0,Low,0
ENT300177,Corporate,BVI,Passport,1,3,239700.0,0,1,1,5,Medium,12.387147592295292,1,60,High,1
ENT300178,Individual,Switzerland,Driving License,1,6,316400.0,1,0,0,24,Medium,12.6647656754269,0,15,Low,1
ENT300179,Individual,UK,PAN,1,5,7100.0,0,0,1,15,Medium,8.867990898182093,0,8,Low,0
ENT300180,Individual,Cayman Islands,Aadhaar,1,6,40400.0,0,0,0,18,Low,10.606609816118151,1,18,Low,0
ENT300181,Individual,Cayman Islands,Aadhaar,1,4,116900.0,0,0,0,20,High,11.669082701743504,1,12,Low,0
ENT300182,Individual,USA,Voter ID,1,3,14800.0,0,0,0,29,Medium,9.60245002503719,0,0,Low,0
ENT300183,Individual,India,Voter ID,1,3,119800.0,0,0,3,18,Medium,11.693587311874056,0,24,Medium,0
ENT300184,Partnership,Mauritius,PAN,1,1,49000.0,0,0,0,3,Medium,10.799595985047786,1,12,Low,0
ENT300185,Corporate,Mauritius,Passport,1,3,254400.0,0,0,0,24,High,12.446667041257989,1,12,Low,0
ENT300186,Corporate,UK,Passport,1,1,46500.0,0,0,0,22,High,10.747229096720554,0,0,Low,0
ENT300187,Individual,Cayman Islands,Voter ID,1,1,5500.0,0,0,0,10,Medium,8.612685172875459,1,12,Low,0
ENT300188,Trust,India,Aadhaar,1,1,101400.0,0,0,0,22,Medium,11.52683823202353,0,0,Low,0
ENT300189,Corporate,BVI,Aadhaar,1,7,14800.0,0,0,0,10,High,9.60245002503719,1,12,Low,0
ENT300190,Individual,Germany,Voter ID,1,4,849700.0,0,0,0,6,High,13.6526398018769,0,0,Low,0
ENT300191,Trust,Mauritius,PAN,1,2,269100.0,0,0,0,21,Medium,12.502842052798766,1,12,Low,0
ENT300192,Corporate,Germany,PAN,1,2,6900.0,0,0,0,14,Medium,8.839421607620602,0,0,Low,0
ENT300193,Corporate,Singapore,Voter ID,1,1,183500.0,0,0,1,6,High,12.119975396053194,0,8,Low,0
ENT300194,Partnership,Germany,PAN,0,5,24200.0,0,0,2,3,Medium,10.094149233605084,0,21,Medium,0
ENT300195,Corporate,Germany,PAN,1,1,143200.0,0,0,0,21,Medium,11.872004516724523,0,0,Low,0
ENT300196,Corporate,Hong Kong,Passport,1,1,40800.0,0,0,0,1,High,10.616461869895815,0,0,Low,0
ENT300197,Individual,Cayman Islands,Voter ID,1,2,31400.0,0,0,0,18,Medium,10.354595018522993,1,12,Low,0
ENT300198,Trust,Switzerland,Driving License,1,4,63100.0,0,0,0,9,Medium,11.052491896264268,0,0,Low,0
ENT300199,Corporate,India,Driving License,1,7,29800.0,0,0,1,9,High,10.30229722897745,0,8,Low,0
ENT300200,Individual,USA,Voter ID,1,2,25300.0,0,0,0,14,High,10.138599199626192,0,0,Low,0
ENT300201,Corporate,Cayman Islands,Aadhaar,1,2,15400.0,0,0,0,12,High,9.642187721358466,1,12,Low,0
ENT300202,Corporate,China,Voter ID,0,4,15300.0,0,0,1,28,High,9.635673464721814,0,13,Low,0
ENT300203,Individual,Cayman Islands,Aadhaar,1,4,44100.0,0,0,0,5,High,10.694237736914808,1,12,Low,0
ENT300204,Individual,India,PAN,1,6,77700.0,0,0,0,22,High,11.260623406285792,0,0,Low,0
ENT300205,Partnership,Mauritius,Voter ID,1,6,112000.0,0,0,1,8,High,11.626263078808801,1,20,Low,0
ENT300206,Individual,India,Aadhaar,1,1,124500.0,0,0,1,6,High,11.732069026983156,0,8,Low,0
ENT300207,Corporate,Seychelles,Aadhaar,1,2,147100.0,0,0,0,22,High,11.898874704662955,1,12,Low,0
ENT300208,Corporate,Hong Kong,Aadhaar,1,1,23800.0,0,0,1,20,Low,10.077482875583607,0,14,Low,0
ENT300209,Corporate,China,Driving License,1,2,89600.0,0,0,0,14,High,11.403121759615027,0,0,Low,0
ENT300210,Partnership,Cayman Islands,Voter ID,1,5,1800.0,0,0,1,7,Medium,7.496097345175956,1,20,Low,0
ENT300211,Corporate,India,Driving License,1,1,272700.0,0,0,0,16,High,12.516131235860326,0,0,Low,0
ENT300212,Partnership,Cyprus,Voter ID,1,4,285100.0,1,0,0,19,High,12.560598782435825,1,27,Medium,1
ENT300213,Partnership,Panama,Driving License,1,1,795500.0,0,0,0,9,High,13.586727383830214,1,12,Low,0
ENT300214,Individual,China,Aadhaar,1,5,15400.0,0,0,1,14,High,9.642187721358466,0,8,Low,0
ENT300215,Corporate,Mauritius,Voter ID,1,6,249000.0,0,0,0,18,High,12.425212191503038,1,12,Low,0
ENT300216,Partnership,UK,Passport,1,2,91800.0,0,0,0,27,High,11.427378469795439,0,0,Low,0
ENT300217,Individual,Switzerland,Driving License,1,2,244900.0,0,0,0,15,Medium,12.408609326231229,0,0,Low,0
ENT300218,Corporate,Cyprus,Voter ID,1,7,33300.0,0,0,0,8,Low,10.413342705547674,1,18,Low,0
ENT300219,Corporate,China,Voter ID,1,4,115100.0,0,0,0,28,High,11.65356528276954,0,0,Low,0
ENT300220,Corporate,Cyprus,Driving License,1,1,548000.0,0,0,0,10,Medium,13.214032390746006,1,12,Low,0
ENT300221,Individual,Singapore,Driving License,1,5,45700.0,0,0,1,2,Medium,10.729875458480967,0,8,Low,0
ENT300222,Individual,India,Aadhaar,0,3,191300.0,1,0,0,24,High,12.161603382806213,0,20,Low,1
ENT300223,Individual,BVI,Passport,1,1,119500.0,0,0,2,27,High,11.691080018519527,1,28,Medium,0
ENT300224,Partnership,Panama,Passport,1,5,20700.0,0,0,3,28,High,9.937937287265354,1,36,Medium,0
ENT300225,Individual,China,Passport,0,1,14800.0,0,0,0,26,High,9.60245002503719,0,5,Low,0
ENT300226,Corporate,Panama,PAN,1,1,62800.0,0,0,0,3,High,11.047726275896391,1,12,Low,0
ENT300227,Individual,Seychelles,Voter ID,1,1,36200.0,0,0,0,16,Medium,10.49684202174171,1,12,Low,0
ENT300228,Corporate,USA,Voter ID,1,7,11600.0,0,1,3,12,Medium,9.358846580275406,0,64,Critical,1
ENT300229,Trust,Germany,PAN,0,1,516400.0,0,0,2,23,Medium,13.154638874436095,0,21,Medium,0
ENT300230,Individual,BVI,Driving License,1,2,23800.0,0,0,0,5,High,10.077482875583607,1,12,Low,0
ENT300231,Individual,Cyprus,PAN,1,3,42800.0,0,0,3,26,Medium,10.664316745782925,1,36,Medium,0
ENT300232,Individual,Panama,Passport,1,3,16300.0,0,0,0,7,High,9.69898173460629,1,12,Low,0
ENT300233,Corporate,Switzerland,Driving License,1,3,21400.0,0,0,0,6,High,9.97119292889014,0,0,Low,0
ENT300234,Individual,Singapore,Aadhaar,1,7,14600.0,0,0,0,10,Medium,9.588845298501564,0,0,Low,0
ENT300235,Individual,BVI,Voter ID,1,5,24600.0,0,0,0,16,Medium,10.110542371500753,1,12,Low,0
ENT300236,Trust,Germany,PAN,1,7,84300.0,0,0,1,3,Low,11.342149006315793,0,14,Low,0
ENT300237,Individual,UAE,Driving License,1,5,113200.0,0,0,0,20,High,11.636920278634463,0,0,Low,0
ENT300238,Individual,Switzerland,Voter ID,1,2,45000.0,0,0,1,16,Medium,10.714439990727769,0,8,Low,0
