txn_id,customer_id,amount,txn_type,channel,merchant,hour_of_day,day_of_week,is_international,amount_log,is_night_txn,is_weekend,is_high_amount,is_fraud
TXN1000059,CUST106996,31.69,UPI Payment,POS Terminal,Unknown Merchant,1,3,0,3.487069220736119,1,0,0,0
TXN1000060,CUST103746,64.3,NEFT,Internet Banking,Reliance,12,0,0,4.178992036282385,0,0,0,0
TXN1000061,CUST103388,44.5,POS,Mobile App,Myntra,22,0,0,3.817712325956905,0,0,0,0
TXN1000062,CUST101456,1873.59,International,Internet Banking,Amazon,22,6,0,7.536145247826803,0,1,0,0
TXN1000063,CUST107168,336.42,NEFT,Mobile App,Reliance,0,4,0,5.821328445177829,1,0,0,0
TXN1000064,CUST106825,77.52,Online Transfer,Branch,IRCTC,1,2,0,4.3633533694082605,1,0,0,0
TXN1000065,CUST106392,270.77,NEFT,ATM,Reliance,17,0,0,5.604956120349306,0,0,0,0
TXN1000066,CUST102499,129.38,Cheque,Mobile App,Reliance,5,5,0,4.870453263496393,1,1,0,0
TXN1000067,CUST104913,30.5,UPI Payment,Mobile App,IRCTC,20,3,0,3.449987545831587,0,0,0,0
TXN1000068,CUST100609,3899.61,NEFT,POS Terminal,IRCTC,20,2,1,8.26888823014334,0,0,0,0
TXN1000069,CUST107657,308.33,UPI Payment,ATM,DMart,2,5,0,5.734408668197962,1,1,0,0
TXN1000070,CUST102144,4065.16,NEFT,Mobile App,Flipkart,20,1,0,8.310454344127304,0,0,0,0
TXN1000071,CUST103325,29.73,Online Transfer,POS Terminal,IRCTC,19,3,0,3.425239376142393,0,0,0,0
TXN1000072,CUST102924,999.94,Cheque,Internet Banking,DMart,10,1,0,6.908694837458803,0,0,0,0
TXN1000073,CUST107275,30.07,NEFT,ATM,Amazon,1,4,0,3.436242723404956,1,0,0,0
TXN1000074,CUST103835,32915.11,ATM Withdrawal,Internet Banking,Petrol Pump,10,5,0,10.401717482559855,0,1,0,0
TXN1000075,CUST104332,17.94,RTGS,Internet Banking,Amazon,22,5,0,2.9412760877579323,0,1,0,0
TXN1000076,CUST107698,10227.31,NEFT,Internet Banking,Jeweller,3,6,0,9.232914644907577,1,1,0,1
TXN1000077,CUST107585,389.29,Cheque,Mobile App,Reliance,15,5,0,5.966890052541402,0,1,0,0
TXN1000078,CUST106812,290.34,POS,Mobile App,Electronics Store,16,1,0,5.674490970020802,0,0,0,0
TXN1000079,CUST103252,1165.39,Cheque,ATM,Jeweller,13,5,0,7.061668787829439,0,1,0,0
TXN1000080,CUST101854,74.56,POS,Mobile App,Big Bazaar,19,0,0,4.324927042633309,0,0,0,0
TXN1000081,CUST106578,1657.71,RTGS,ATM,Hospital,19,2,0,7.413795470811572,0,0,0,0
TXN1000082,CUST101197,1891.28,Cheque,Internet Banking,Big Bazaar,5,1,0,7.545537730205496,1,0,0,0
TXN1000083,CUST100667,412.17,International,POS Terminal,Swiggy,5,5,0,6.023859130543853,1,1,0,0
TXN1000084,CUST102865,632.76,POS,Branch,Electronics Store,5,3,0,6.451670333873606,1,0,0,0
TXN1000085,CUST107234,13008.54,Cheque,Mobile App,Jeweller,9,4,0,9.473438213464092,0,0,0,0
TXN1000086,CUST104517,1302.6,Online Transfer,POS Terminal,Amazon,23,5,0,7.172884946963406,1,1,0,0
TXN1000087,CUST104303,98.69,International,Branch,Myntra,6,1,0,4.602065371034612,0,0,0,1
TXN1000088,CUST106406,1557.69,Cheque,Mobile App,Myntra,6,5,0,7.3516010038716795,0,1,0,0
TXN1000089,CUST107990,153.2,Cheque,POS Terminal,DMart,6,2,0,5.038250461129229,0,0,0,0
TXN1000090,CUST107939,108.12,RTGS,Internet Banking,Electronics Store,6,6,0,4.692448194095152,0,1,0,0
TXN1000091,CUST107031,1015.12,POS,Branch,Amazon,12,0,0,6.923746731400183,0,0,0,0
TXN1000092,CUST104353,65.57,RTGS,Mobile App,Reliance,5,3,0,4.198254025612612,1,0,0,0
TXN1000093,CUST107459,438.57,POS,Internet Banking,Big Bazaar,23,1,0,6.085796976342696,1,0,0,0
TXN1000094,CUST106263,1356.62,Cheque,ATM,Hospital,18,2,0,7.213488445691291,0,0,0,0
TXN1000095,CUST104984,12550.04,POS,POS Terminal,Swiggy,14,4,0,9.437558809652419,0,0,0,0
TXN1000096,CUST104943,1272.83,Cheque,POS Terminal,Electronics Store,14,4,0,7.1497833892378875,0,0,0,0
TXN1000097,CUST105950,28.62,POS,Internet Banking,Big Bazaar,18,1,0,3.3884498088396526,0,0,0,0
TXN1000098,CUST107261,37.91,ATM Withdrawal,Internet Banking,Electronics Store,8,1,0,3.661251286996462,0,0,0,0
TXN1000099,CUST101423,9021.99,RTGS,Internet Banking,Electronics Store,3,2,1,9.107531043715044,1,0,0,0
TXN1000100,CUST106107,128.81,International,Mobile App,Hospital,3,5,0,4.866071842904903,1,1,0,0
TXN1000101,CUST106103,26.32,Cheque,POS Terminal,Petrol Pump,19,4,0,3.307619034702589,0,0,0,0
TXN1000102,CUST101135,66.12,Cheque,Internet Banking,Myntra,3,5,0,4.206482062158951,1,1,0,0
TXN1000103,CUST100916,1684.85,ATM Withdrawal,Internet Banking,Petrol Pump,13,0,0,7.430025166632386,0,0,0,0
TXN1000104,CUST105572,494.28,POS,Mobile App,Unknown Merchant,7,5,0,6.205123259210977,0,1,0,1
TXN1000105,CUST107428,1293.62,International,POS Terminal,Zomato,5,2,0,7.165972494779349,1,0,0,0
TXN1000106,CUST100471,380.16,ATM Withdrawal,ATM,Swiggy,9,4,0,5.9432192344799875,0,0,0,0
TXN1000107,CUST100398,55.42,POS,Internet Banking,Swiggy,13,3,0,4.0328237055738505,0,0,0,0
TXN1000108,CUST104309,16.17,RTGS,Mobile App,IRCTC,10,1,0,2.843163674909384,0,0,0,0
TXN1000109,CUST104072,89.81,Online Transfer,Internet Banking,Unknown Merchant,18,3,0,4.508769411701737,0,0,0,0
TXN1000110,CUST107924,502.29,International,Mobile App,DMart,22,5,0,6.221166544719438,0,1,0,0
TXN1000111,CUST106071,47.92,POS,Mobile App,Swiggy,4,5,0,3.890186310818972,1,1,0,0
TXN1000112,CUST103106,2366.63,International,Branch,DMart,21,2,0,7.769644733795594,0,0,0,1
TXN1000113,CUST102201,66.68,Cheque,Mobile App,Flipkart,14,6,0,4.214790715297968,0,1,0,0
TXN1000114,CUST104956,20.62,POS,Mobile App,Flipkart,7,1,0,3.073618812211062,0,0,0,0
TXN1000115,CUST100690,403.91,UPI Payment,Branch,Electronics Store,22,0,0,6.0036648201893,0,0,0,0
TXN1000116,CUST105005,1586.52,NEFT,POS Terminal,Jeweller,9,2,0,7.3699283291126845,0,0,0,0
TXN1000117,CUST106636,5923.06,RTGS,ATM,Hospital,14,0,0,8.686777303628093,0,0,0,0
TXN1000118,CUST106634,22.17,POS,Mobile App,Flipkart,16,1,0,3.142858338444285,0,0,0,0
TXN1000119,CUST102338,5232.49,Cheque,Internet Banking,Electronics Store,23,3,0,8.56283363852594,1,0,0,0
TXN1000120,CUST102896,563.18,UPI Payment,Branch,Hospital,22,1,0,6.335373349517041,0,0,0,0
TXN1000121,CUST105698,131.92,ATM Withdrawal,ATM,Flipkart,2,4,0,4.889747443486393,1,0,0,0
TXN1000122,CUST104669,1373.97,Cheque,Mobile App,Zomato,4,4,0,7.226187191680833,1,0,0,0
TXN1000123,CUST104549,4627.13,Cheque,ATM,IRCTC,1,0,0,8.439908177806695,1,0,0,0
TXN1000124,CUST100755,19.64,NEFT,Branch,Hospital,4,1,0,3.027230940613362,1,0,0,0
TXN1000125,CUST101937,185.74,International,POS Terminal,Jeweller,3,5,0,5.22971727505578,1,1,0,0
TXN1000126,CUST100038,151.35,ATM Withdrawal,POS Terminal,Pharmacy,0,2,0,5.026180505431718,1,0,0,0
TXN1000127,CUST103568,1244.86,NEFT,POS Terminal,Flipkart,17,4,1,7.127581333484029,0,0,0,0
TXN1000128,CUST101573,5586.19,UPI Payment,Internet Banking,Jeweller,23,0,0,8.628231756398357,1,0,0,0
TXN1000129,CUST103361,460.41,POS,Internet Banking,Unknown Merchant,23,4,0,6.134287018673411,1,0,0,0
TXN1000130,CUST104944,238.43,Cheque,Internet Banking,Big Bazaar,4,5,0,5.478261098556027,1,1,0,0
TXN1000131,CUST100586,899.33,International,Internet Banking,DMart,21,6,0,6.802761362785183,0,1,0,0
TXN1000132,CUST105507,264.53,ATM Withdrawal,POS Terminal,Hospital,21,4,0,5.581727828648895,0,0,0,0
TXN1000133,CUST101892,10.0,Online Transfer,Internet Banking,DMart,7,6,0,2.3978952727983707,0,1,0,0
TXN1000134,CUST105363,1023.16,UPI Payment,Branch,Petrol Pump,19,2,0,6.931628043393693,0,0,0,0
TXN1000135,CUST105795,2378.48,Online Transfer,Internet Banking,Pharmacy,8,5,0,7.774637255398714,0,1,0,0
TXN1000136,CUST100601,2786.81,NEFT,POS Terminal,Petrol Pump,19,4,0,7.933011620347248,0,0,0,0
TXN1000137,CUST101537,50.36,RTGS,Branch,Unknown Merchant,7,6,0,3.9388596593817056,0,1,0,0
TXN1000138,CUST107394,1203.37,Cheque,POS Terminal,Swiggy,5,3,0,7.093711887629136,1,0,0,0
TXN1000139,CUST100334,6367.62,International,Internet Banking,Electronics Store,2,2,0,8.75913808459391,1,0,0,0
TXN1000140,CUST100663,38373.05,ATM Withdrawal,Mobile App,DMart,15,1,0,10.555136728882745,0,0,0,0
TXN1000141,CUST104741,955.35,Online Transfer,POS Terminal,Pharmacy,9,5,0,6.863123954836543,0,1,0,0
TXN1000142,CUST103371,2370.72,POS,ATM,Pharmacy,11,5,0,7.771370709305036,0,1,0,0
TXN1000143,CUST104792,67.58,Online Transfer,ATM,Electronics Store,9,3,0,4.228000947034774,0,0,0,0
TXN1000144,CUST101785,53.4,RTGS,Internet Banking,Jeweller,16,0,0,3.996364153861897,0,0,0,0
TXN1000145,CUST103211,2385.58,RTGS,POS Terminal,Electronics Store,4,5,0,7.7776166577780925,1,1,0,0
TXN1000146,CUST100426,10.33,POS,Internet Banking,Electronics Store,0,4,0,2.4274540750399147,1,0,0,0
TXN1000147,CUST103044,533.59,ATM Withdrawal,Branch,Zomato,10,1,0,6.281500097955606,0,0,0,0
TXN1000148,CUST103672,5297.96,Cheque,Mobile App,Pharmacy,5,0,0,8.575265853870198,1,0,0,0
TXN1000149,CUST106060,1454.85,International,Branch,Zomato,14,1,0,7.283345201471481,0,0,0,0
TXN1000150,CUST107036,1437.88,Cheque,Internet Banking,Amazon,20,5,0,7.271620312166205,0,1,0,0
TXN1000151,CUST104812,369.06,NEFT,Mobile App,DMart,5,4,0,5.91366515465357,1,0,0,0
TXN1000152,CUST100015,192.91,Cheque,Branch,Big Bazaar,15,0,0,5.267394133894527,0,0,0,0
TXN1000153,CUST100163,19508.31,ATM Withdrawal,POS Terminal,IRCTC,1,2,0,9.87864706651302,1,0,0,0
TXN1000154,CUST102774,3716.58,UPI Payment,Internet Banking,Amazon,11,2,0,8.220828197941364,0,0,0,0
TXN1000155,CUST107320,1850.59,International,ATM,Unknown Merchant,12,0,0,7.523800008408031,0,0,0,0
TXN1000156,CUST105898,424.16,International,Mobile App,IRCTC,17,1,0,6.052465568665381,0,0,0,0
TXN1000157,CUST102526,140.98,UPI Payment,Mobile App,Amazon,16,5,0,4.95568620261124,0,1,0,0
TXN1000158,CUST104602,2816.76,RTGS,Branch,Petrol Pump,3,6,0,7.943697522046775,1,1,0,0
TXN1000159,CUST100698,232.2,Cheque,Mobile App,Petrol Pump,11,1,0,5.451896454476337,0,0,0,0
TXN1000160,CUST101219,464.83,ATM Withdrawal,Branch,Unknown Merchant,12,0,0,6.14382076070048,0,0,0,0
TXN1000161,CUST107042,1222.0,UPI Payment,Mobile App,Zomato,14,2,0,7.109062135687172,0,0,0,0
TXN1000162,CUST101464,588.18,Online Transfer,Internet Banking,Zomato,3,2,0,6.378731739681057,1,0,0,0
TXN1000163,CUST102920,6568.17,POS,ATM,DMart,1,0,0,8.790142771686858,1,0,0,0
TXN1000164,CUST104411,37.49,UPI Payment,Mobile App,Zomato,21,5,0,3.6503984672956546,0,1,0,0
TXN1000165,CUST102572,455.41,Cheque,Mobile App,Swiggy,15,5,0,6.123391528352619,0,1,0,0
TXN1000166,CUST100322,18930.24,POS,Branch,Hospital,14,2,0,9.84856874654827,0,0,0,0
TXN1000167,CUST106600,2027.78,UPI Payment,Mobile App,Hospital,8,3,0,7.615189906150152,0,0,0,0
TXN1000168,CUST105799,282.96,Cheque,ATM,Reliance,15,5,0,5.648833383171185,0,1,0,0
TXN1000169,CUST107838,1699.14,Online Transfer,POS Terminal,Big Bazaar,12,0,0,7.438465879594666,0,0,0,0
TXN1000170,CUST102803,370.21,Online Transfer,Branch,Flipkart,14,0,0,5.916767940204352,0,0,0,0
TXN1000171,CUST106738,5650.33,Online Transfer,Internet Banking,IRCTC,9,1,0,8.639646194668758,0,0,0,0
TXN1000172,CUST107077,1769.15,RTGS,Branch,Jeweller,0,6,0,7.478819567739867,1,1,0,0
TXN1000173,CUST104003,84.8,Online Transfer,Internet Banking,Electronics Store,10,3,1,4.4520190064939165,0,0,0,0
TXN1000174,CUST107365,619.59,NEFT,Internet Banking,Flipkart,14,6,0,6.430670638445849,0,1,0,0
TXN1000175,CUST105264,857.08,UPI Payment,Mobile App,Reliance,12,3,0,6.754697335234615,0,0,0,0
TXN1000176,CUST107179,936.92,International,ATM,Swiggy,11,2,0,6.8436646575225275,0,0,0,0
TXN1000177,CUST104748,716.05,NEFT,Internet Banking,Pharmacy,10,4,0,6.575145573175221,0,0,0,0
TXN1000178,CUST107767,1114.92,RTGS,Internet Banking,Swiggy,15,3,0,7.01743445578398,0,0,0,0
TXN1000179,CUST101464,857.69,Online Transfer,Branch,Pharmacy,14,4,1,6.755407972099974,0,0,0,0
TXN1000180,CUST103578,110.15,NEFT,ATM,Myntra,9,2,0,4.710880640410205,0,0,0,0
TXN1000181,CUST106736,177.39,ATM Withdrawal,ATM,Flipkart,5,1,0,5.183972164763176,1,0,0,0
TXN1000182,CUST105346,255.32,International,Branch,Pharmacy,14,1,0,5.546426663879994,0,0,0,0
TXN1000183,CUST101923,479.12,RTGS,Mobile App,Hospital,6,1,0,6.174036072657144,0,0,0,0
TXN1000184,CUST104629,256.82,RTGS,Branch,Hospital,0,6,0,5.5522616670149585,1,1,0,0
TXN1000185,CUST100105,2937.12,NEFT,POS Terminal,Zomato,19,4,0,7.985525200011365,0,0,0,0
TXN1000186,CUST105696,71.65,ATM Withdrawal,Mobile App,Amazon,20,0,0,4.285653390016292,0,0,0,0
TXN1000187,CUST102512,17.77,RTGS,Mobile App,IRCTC,4,3,1,2.9322598505984176,1,0,0,0
TXN1000188,CUST102357,13909.39,RTGS,Internet Banking,Petrol Pump,6,2,0,9.540391321907626,0,0,0,0
TXN1000189,CUST100787,92.62,Cheque,Mobile App,IRCTC,21,5,0,4.539244035871924,0,1,0,0
TXN1000190,CUST107911,2923.92,POS,Mobile App,Petrol Pump,9,1,0,7.981022408864577,0,0,0,0
TXN1000191,CUST106534,1206.48,POS,POS Terminal,DMart,12,5,0,7.096290822242559,0,1,0,0
TXN1000192,CUST100021,98.68,International,Mobile App,Amazon,0,0,0,4.601965055039143,1,0,0,0
TXN1000193,CUST105108,317.56,NEFT,Mobile App,Hospital,21,0,0,5.7638108403158865,0,0,0,0
TXN1000194,CUST103333,242.86,Cheque,POS Terminal,Unknown Merchant,21,1,0,5.496594290132119,0,0,0,0
TXN1000195,CUST106225,766.23,International,ATM,Electronics Store,22,5,0,6.642786626037251,0,1,0,0
TXN1000196,CUST106441,101.36,ATM Withdrawal,Internet Banking,Unknown Merchant,7,3,0,4.628496011291588,0,0,0,0
TXN1000197,CUST101838,293.62,RTGS,Branch,Unknown Merchant,6,5,0,5.685686390386793,0,1,0,1
TXN1000198,CUST100696,377.26,UPI Payment,ATM,Petrol Pump,19,6,0,5.935581789860309,0,1,0,0
TXN1000199,CUST105812,2931.52,RTGS,ATM,Electronics Store,2,0,0,7.983617400623726,1,0,0,0
TXN1000200,CUST103338,192.48,Cheque,ATM,Pharmacy,1,2,0,5.265174147954783,1,0,0,0
TXN1000201,CUST105950,69.67,RTGS,ATM,Amazon,4,1,0,4.258021154702763,1,0,0,0
TXN1000202,CUST106669,151.34,International,Branch,DMart,19,6,0,5.026114864944642,0,1,0,0
TXN1000203,CUST106123,781.06,International,Branch,Swiggy,3,6,1,6.661931463944707,1,1,0,0
TXN1000204,CUST102186,16.63,RTGS,Branch,Zomato,8,2,0,2.869601996409779,0,0,0,0
TXN1000205,CUST103886,3481.32,Cheque,Mobile App,Swiggy,21,6,1,8.15545401731168,0,1,0,0
TXN1000206,CUST100386,417.95,NEFT,Branch,Reliance,0,1,0,6.037751581059295,1,0,0,0
TXN1000207,CUST102025,879.88,Online Transfer,Branch,Amazon,3,3,0,6.7809214078053355,1,0,0,0
TXN1000208,CUST106483,598.56,Online Transfer,POS Terminal,Electronics Store,3,5,0,6.396196052862395,1,1,0,0
TXN1000209,CUST101716,121.36,Cheque,POS Terminal,Big Bazaar,14,6,0,4.806967519282702,0,1,0,0
TXN1000210,CUST106661,57.51,UPI Payment,Internet Banking,Unknown Merchant,11,0,0,4.069197679800145,0,0,0,1
TXN1000211,CUST105256,114.34,ATM Withdrawal,Mobile App,Big Bazaar,2,5,0,4.747884288187267,1,1,0,0
TXN1000212,CUST100857,26.82,NEFT,POS Terminal,Amazon,1,5,0,3.325755186495297,1,1,0,0
TXN1000213,CUST107552,755.1,Online Transfer,POS Terminal,Zomato,9,5,0,6.628173642564224,0,1,0,0
TXN1000214,CUST100353,300.98,UPI Payment,Mobile App,Myntra,23,2,0,5.710360790016324,1,0,0,0
TXN1000215,CUST101976,25.49,UPI Payment,Internet Banking,Zomato,7,5,0,3.2767673032839784,0,1,0,0
TXN1000216,CUST102153,132.99,POS,Internet Banking,Zomato,13,5,0,4.8977651703005165,0,1,0,0
TXN1000217,CUST106793,1304.85,RTGS,ATM,Amazon,12,2,0,7.17460944872248,0,0,0,0
TXN1000218,CUST103434,4135.82,International,POS Terminal,Unknown Merchant,13,3,0,8.32768265572513,0,0,0,1
TXN1000219,CUST106628,40.01,ATM Withdrawal,POS Terminal,Unknown Merchant,3,2,0,3.713815939403968,1,0,0,0
TXN1000220,CUST104738,19741.93,Cheque,ATM,Amazon,11,0,0,9.890550731557491,0,0,0,0
TXN1000221,CUST103133,71.74,International,ATM,Myntra,18,1,0,4.286891439558843,0,0,0,0
TXN1000222,CUST101922,18.75,Online Transfer,Mobile App,Petrol Pump,14,3,0,2.9831534913471307,0,0,0,0
TXN1000223,CUST103196,9541.65,RTGS,Branch,Big Bazaar,6,5,0,9.163526503647006,0,1,0,0
TXN1000224,CUST102503,61.96,Online Transfer,Mobile App,DMart,2,0,0,4.1424996041091475,1,0,0,0
TXN1000225,CUST104388,6266.04,Online Transfer,Internet Banking,DMart,7,5,0,8.743059432843527,0,1,0,0
TXN1000226,CUST101631,121.9,Cheque,ATM,Swiggy,15,0,0,4.811371016571989,0,0,0,0
TXN1000227,CUST107348,238.03,International,ATM,Myntra,13,5,0,5.476589067066709,0,1,0,0
TXN1000228,CUST102953,38.51,Online Transfer,Internet Banking,Swiggy,14,2,1,3.6765538044232993,0,0,0,0
TXN1000229,CUST105345,4021.42,UPI Payment,Internet Banking,Petrol Pump,3,3,0,8.299638990539494,1,0,0,0
TXN1000230,CUST107254,3140.48,RTGS,ATM,Reliance,16,0,1,8.052449305437252,0,0,0,0
TXN1000231,CUST106683,122.87,NEFT,Internet Banking,Jeweller,19,6,0,4.819232628566109,0,1,0,0
TXN1000232,CUST107910,352.55,RTGS,Internet Banking,Flipkart,5,5,0,5.86802491805025,1,1,0,0
TXN1000233,CUST107174,1328.45,ATM Withdrawal,Mobile App,Zomato,16,0,0,7.192520601852516,0,0,0,0
TXN1000234,CUST105650,172.68,Online Transfer,ATM,Pharmacy,3,3,0,5.157214525570036,1,0,0,0
TXN1000235,CUST107158,4701.32,International,Internet Banking,Big Bazaar,2,6,0,8.455811282930622,1,1,0,0
TXN1000236,CUST105346,333.44,RTGS,Mobile App,Flipkart,17,5,0,5.812457491281857,0,1,0,0
TXN1000237,CUST105809,158.37,Online Transfer,POS Terminal,Reliance,20,5,0,5.071228542871542,0,1,0,0
TXN1000238,CUST105966,23.36,ATM Withdrawal,POS Terminal,Pharmacy,14,2,0,3.192942442841696,0,0,0,0
TXN1000239,CUST107231,39.3,UPI Payment,Branch,Reliance,17,0,0,3.696351468952637,0,0,0,0
TXN1000240,CUST101471,1163.73,POS,Branch,DMart,0,5,0,7.060244579482729,1,1,0,0
TXN1000241,CUST107096,616.34,NEFT,Mobile App,Jeweller,11,1,0,6.425419925615774,0,0,0,0
TXN1000242,CUST106286,1751.59,NEFT,Internet Banking,Amazon,3,2,0,7.468849972796959,1,0,0,0
